11_voice_NPC_5054_101#0,"""Ah, you came! I had something I wanted to pass on to you!"""
Npc54_favs_before_020#0,"""Take this with you!"""
Npc54_favs_after_010#0,"""This is a reward for all the hard work you do every day! Don't be shy!"""
Npc54_favs_after_020#0,"""Continue to dedicate yourself to your work!"""
Npc54_favs_present_010#0,"""Received <yellow>Synthesizer<c> from Jozsef."""
Npc54_favs_present_020#0,"""Received <yellow>Flicker Jab<c> from Jozsef."""
Npc54_favs_present_030#0,"""Received <yellow>Pendulum Roll<c> from Jozsef."""
Npc54_favs_present_040#0,"""Received <yellow>Synthesizer<c> from Jozsef."""
Npc54_favs_present_050#0,"""Received <yellow>Straight Charge<c> from Jozsef."""
Npc54_favs_present_060#0,"""Received <yellow>Quake Howling<c> from Jozsef."""
Npc54_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Jozsef."""
Npc54_favs_present_080#0,"""Received <yellow>Surprise Knuckle<c> from Jozsef."""
Npc54_favs_present_090#0,"""Received <yellow>Flash Thousand<c> from Jozsef."""
Npc54_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Jozsef."""
Npc54_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Jozsef."""
Npc54_MesPack_010#0,"""Have you noticed the Message Packs scattered across each planet?"""
Npc54_MesPack_020#0,"""Our advance scout units document useful information in them and leave them out in the field. If you have a chance, you should take a look at them."""
Npc54_MesPack_030#0,"""Reading them is easy. Simply approach and access them."""
11_voice_NPC_5054_100#0,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_100#1,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_100#2,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_100#3,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_100#4,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_100#5,"""Don't neglect your daily training! An ARKS's life is one of endless dedication!"""
11_voice_NPC_5054_101#1,"""A trained body means a healthy soul! When fighting Darkers, the power of your heart is the most important!"""
11_voice_NPC_5054_101#2,"""A trained body means a healthy soul! When fighting Darkers, the power of your heart is the most important!"""
Alice_01_10#0,"""ダーカー以外の生物との戦いを<br>どう思うか、か。"""
Alice_01_20#0,"""成る程、アークスたるもの<br>皆、一度は考えることだな。"""
Alice_01_30#0,"""だが、気に病む必要はない。<br>我々は決して侵略者ではないのだ。"""
Alice_01_40#0,"""ダーカーの影響で凶暴化した以外の<br>生物に危害を加えたり、捕獲や<br>身体の組織の採取は許されてはいない。"""
Alice_01_50#0,"""また凶暴化した生物がいる地域以外には<br>一般のアークスに任務が発生しないよう<br>あらかじめ十分調査されている。"""
Alice_01_60#0,"""任務先にあるレーザーフェンスなどは<br>無害な生物を遠ざけるためのもの。<br>調査の過程で切り分けられているのだ。"""
11_voice_NPC_5054_101#3,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb9_020#0,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_101#4,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb10_020#0,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_101#5,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb11_020#0,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_100#6,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb12_020#0,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_100#7,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb13_020#0,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_100#8,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb14_020#0,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_104#0,"""……まさか、現役に復帰した矢先に<br>こんなことが起ころうとはな。"""
Npc54_mb18_010#0,"""……まさか、この短期間で<br>これほどの変化が起こるとはな。"""
11_voice_NPC_5054_100#9,"""見た目の話ではないぞ。<br>万物は変わっていくということを<br>改めて教えられた気分だ。"""
11_voice_NPC_5054_100#10,"""敵の存在が明確になればなるほど<br>燃えてくるものがある。"""
Npc54_mb21_020#0,"""現役を一度は退いたとはいえど<br>私の力が役立つこともあろう。"""
Npc54_mb21_030#0,"""覚悟はとうに決めている。<br>望まれれば私はいつでも<br>この力を振るう所存だ。"""
Npc54_mb23_after_010#0,"""多くのことが起きたみたいだが<br>ひとまず無事でなによりだ。"""
11_voice_NPC_5054_100#11,"""これから大きな戦いがあるかもしれん。<br>私も最盛期は過ぎたが、全力で<br>戦う気持ちをもっている。"""
Npc54_mb23_after_030#0,"""だが君は、今は身体を労るべきだ。<br>皆、君のために動こうとしている。<br>彼らを信じ、英気を養うのだ。"""
11_voice_NPC_5054_100#12,"""良い結果になって何よりだ。<br>今回のことは、君であっても<br>難しいのではと不安があったのだ。"""
Npc54_mb24_after_020#0,"""だがそれは杞憂にすぎなかった。<br>自身が願う未来のために戦う姿は<br>実に見事だった。"""
Npc54_mb24_after_030#0,"""私も君のようになれればと<br>年甲斐もなく、思ってしまったぞ。"""
11_voice_NPC_5054_104#1,"""【深遠なる闇】は強大な敵だ。<br>だが我々も無力ではないし<br>ひと時とはいえど猶予がある。"""
Npc54_mb25_020#0,"""この期間に全力で己を鍛え上げ<br>来るべき日に備えねばなるまい。"""
Npc54_mb25_030#0,"""我々に負けは許されないからな。"""
11_voice_NPC_5054_100#13,"""よく戻ってきてくれたな。<br>歴戦の勇士の帰還によって<br>皆の士気も上がるだろう。"""
st01_020#0,"""君は特に何も意識する必要はないぞ。<br>ただ、そこにいてくれるだけで<br>安心を与える存在というのもある。"""
11_voice_NPC_5054_100#14,"""Vigor comes from action. Your actions energize everyone here."""
11_voice_NPC_5054_100#15,"""Vigor comes from action. The way you take the initiative is what's energizing everyone here."""
