name01#0,"""Ozha"""
name02#0,"""Marlu"""
name03#0,"""Lisa"""
name04#0,"""Afin"""
name05#0,"""Patty"""
name06#0,"""Tea"""
name07#0,"""Sara"""
skit01#0,"""We're supposed to sweep this area with that weapon? I'll leave this to you."""
skit02#0,"""I guess we're supposed to use that. I'll leave it to you."""
skit03#0,"""Using a turret isn't for Lisa. Lisa likes shooting with her own gun. I'll let you use it."""
skit04#0,"""I think you're supposed to clear with that. Go for it partner."""
skit05#0,"""Oh a turret? It's like a sign from god that we're supposed to use it!"""
skit06#0,"""Were do you get your delusions from? It must be here on purpose."""
skit07#0,"""I'm not good with turrets. I'll leave it to you."""
skit01#1,"""/ci2 2 We're supposed to sweep this area with that weapon? I'll leave this to you."""
skit02#1,"""/ci2 2 I guess we're supposed to use that. I'll leave it to you."""
skit03#1,"""/ci2 2 Using a turret isn't for Lisa. Lisa likes shooting with her own gun. I'll let you use it."""
skit04#1,"""/ci2 2 I think you're supposed to clear with that. Go for it partner."""
skit05#1,"""/ci2 2 Oh a turret? It's like a sign from god that we're supposed to use it!"""
skit06#1,"""/ci2 2 Were do you get your delusions from? It must be here on purpose."""
skit07#1,"""/ci2 2 I'm not good with turrets. I'll leave it to you."""
