IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcSuccess#0,"""APC共闘成功"""
IncidentJsApcFailure#0,"""APC共闘失敗"""
IncidentJsApcBeginEvo#0,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#0,"""APC共闘成功"""
IncidentJsApcBegin#1,"""/ci2 2 Parece que las cosas estan dificiles! No te preocupes, estoy aqui! """
IncidentJsApcSuccess#1,"""/ci2 Bueno, tengo que volver ahora. Eso fue dificil, pero lo que bien empieza bien acaba!"""
IncidentJsApcFailure#1,"""っとと、ここまでやりこまれちまうと<br>ちょっと厳しいな……<br>すまんが俺は帰還させてもらうぜ。"""
IncidentJsApcBeginEvo#1,"""APC共闘発展開始(仮）"""
IncidentJsApcSuccessEvo#1,"""/ci2 Bueno, tengo que volver ahora. Eso fue dificil, pero lo que bien empieza bien acaba!"""
IncidentJsApcBegin#2,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcSuccess#2,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcFailure#2,"""Ugh... No puedo soportar esto... Lo siento, pero parece que voy a retirame primero."""
IncidentJsApcBeginEvo#2,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
IncidentJsApcSuccessEvo#2,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcBegin#3,"""/toge /ci2 2 ああっ、相棒！\u3000いいとこに！<br>ヤバイ数のエネミーがいるんだよ<br>ちょっと協力してくれ！"""
IncidentJsApcSuccess#3,"""/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。"""
IncidentJsApcFailure#3,"""Esto es mas de lo que puedo hacer. Tengo que retirarme. Lo siento, compañero..."""
IncidentJsApcBeginEvo#3,"""/toge /ci3 ¡Misión cumplida! Espera, ¿Que es esto? Algo viene!"""
IncidentJsApcSuccessEvo#3,"""/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。"""
