Q0#0,"""Hello."""
HELLO#0,"""Hello."""
HELLO_FAV4#0,"""I've been waiting for you."""
HELLO_FAV3#0,"""You're finally here."""
HELLO_FAV2#0,"""Hello."""
HELLO_FAV1#0,"""What is it?"""
HELLO_FAV0#0,"""何だ"""
GOODBYE#0,"""Good-bye."""
GOODBYE_FAV4#0,"""Come back anytime."""
GOODBYE_FAV3#0,"""Well then, see you later."""
GOODBYE_FAV2#0,"""Good-bye."""
GOODBYE_FAV1#0,"""See you."""
GOODBYE_FAV0#0,"""My oh my."""
00_01#0,"""Option 1"""
00_02#0,"""Option 2"""
TALK_ST#0,"""Talk"""
C_ORDER_ST#0,"""Listen to details"""
