11_voice_NPC_5001_101#0,"""Oh, <%me><br>did you come back to see me again? Man, being so popular is difficult."""
Zeno_favs_before_020#0,"""That's right, I got this thing so if it's alright with you, accept it."""
Zeno_favs_before_030#0,"""Even if I keep it, I already have too much it's wasteful."""
Zeno_favs_after_010#0,"""Thanks ? I don't need it.<br>The one who's always being teken care of is me."""
Zeno_favs_after_020#0,"""Think of it as the materialization of my gratitude everyday."""
Zeno_favs_present_010#0,"""Received \""Nova Strike\"" from Zeno."""
Zeno_favs_present_020#0,"""Received \""Stun Concido\"" from Zeno."""
Zeno_favs_present_030#0,"""Received \""Synthesizer\"" from Zeno."""
Zeno_favs_present_040#0,"""Received \""Cruel Throw\"" from Zeno."""
Zeno_favs_present_050#0,"""Received \""Sonic Arrow\"" from Zeno."""
Zeno_favs_present_060#0,"""Received \""Synthesizer\"" from Zeno."""
Zeno_favs_present_070#0,"""Received \""Twister Fall\"" from Zeno."""
Zeno_favs_present_080#0,"""Received \""Synthesizer\"" from Zeno."""
Zeno_favs_present_090#0,"""Received \""Rising Edge\"" from Zeno."""
Zeno_favs_present_100#0,"""Received \""Synthesizer\"" from Zeno."""
favs_present_add_001#0,"""Received \""<%skit_text>\"" from Zeno."""
11_voice_NPC_5001_100#0,"""An advice from me, don't work too hard. Well, let's enjoy the situation, rookie."""
11_voice_NPC_5001_100#1,"""When you think the situation is bad, retreat right away. It's also a necessary talent for ARKS."""
11_voice_NPC_5001_109#0,"""Next time do that ... Ah, also ... There was a message from grandpa Regius … Aーah, I got it here."""
11_voice_NPC_5001_100#2,"""It's also important to take a break? Since doing nothing but missions and battles, the body and heart will tire."""
11_voice_NPC_5001_101#1,"""Have you tried joining a team? The feeling of leaving one's back is something you won't understand unless you experiencing it yourself."""
11_voice_NPC_5001_100#3,"""Even ARKS are people. You can relax you know ? If you can become serious when needed, that's enough."""
11_voice_NPC_5001_101#2,"""Requests will come to those who can do it <br> This is such a world."""
Zeno_07_020#0,"""What does it say? If you want to take it easy, moderately skip out work."""
11_voice_NPC_5001_100#4,"""What kinds of weapons have you tried using ? You won't know which suit you the most without trying."""
11_voice_NPC_5001_101#3,"""Experience really does make people grow. You, you name comes out quite a lot."""
11_voice_NPC_5001_100#5,"""Even if there are problems, it's better to run forward without worries."""
Zeno_10_020#0,"""If you will have regrets no matter your choice, you should make the choice you feel is the best. Don't you think so ?"""
11_voice_NPC_5001_104#0,"""... <%me>,<br> do not become a someone who loves fighting. <br> Surely, it is ... it is only vanity."""
11_voice_NPC_5001_100#6,"""I will end the message around there. <br>Do not tell non-combatants. <br>I will also transmit to ARKS."""
Zeno_12_020#0,"""That is to say, I too, in troubled times ask for help ... and so, when you are free I'll be counting on you."""
11_voice_NPC_5001_105#0,"""The relationship between me and Echo? Relationship or whatever, we were together since long ago. From what age ... I forgot."""
11_voice_NPC_5001_105#1,"""アークスとしての活動歴が長いってのは<br>それだけ優秀って証拠でもあるんだが<br>無駄に知り合いが増えるのが難点だな。"""
Zeno_14_020#0,"""……くそ、レギアスのじじいめ。<br>めんどくさい依頼ばっか<br>投げてきやがって。"""
11_voice_NPC_5001_104#1,"""あんまりがっついて無理するなよ？<br>なにをするにしても、五体満足で<br>あってこそ、だからな。"""
11_voice_NPC_5001_104#2,"""昔話は思考を過去に縫い止める。<br>少なくともオレはそう思ってるから<br>昔のコトを聞かれても答えないぜ？"""
11_voice_NPC_5001_105#2,"""まーったくよ、最近忙しくて<br>まともに休むヒマもねえ。<br>いい加減グレちまうぜ、オレは。"""
11_voice_NPC_5001_104#3,"""見えない真実に騙されるなよ。<br>他人がどう言おうが、自分で見たものが<br>事実で、真実だ。"""
Zeno_18_020#0,"""……なーんてな。<br>昔、オレの師匠が言ってたんだよ。<br>オレには似合わない？\u3000ほっとけ。"""
11_voice_NPC_5001_104#4,"""何が起こるかわからない<br>それが世の常ってもんだ。<br>いざという時は、いつか訪れる。"""
Zeno_19_020#0,"""……<%me><br>自分の守りたいと思うものから<br>目を離すんじゃないぞ。"""
11_voice_NPC_5001_100#7,"""かっこつけようとして、無茶するなよ？<br>勝てないと思ったら、さっさと逃げる。<br>身代わりなんてもってのほかだ。"""
Zeno_20_020#0,"""だからいざという時にオレを頼るなよ。<br>オレ、真っ先に逃げるからな。"""
11_voice_NPC_5001_104#5,"""なあ、<%me><br>なんつーか……うーん<br>何て言ったらいいんだろうなぁ……"""
Zeno_21_020#0,"""イヤな感じとか、悪寒とか<br>そういった類いのもの、感じないか。<br>……オレの気のせいかな？"""
11_voice_NPC_5001_105#3,"""いやー、しかし見れば見るほど<br>お前さんは似てる気がするなぁ。<br>誰にか、って？\u3000そりゃ内緒だ。"""
Zeno_22_020#0,"""オレが勝手にそう考えて<br>にやにやしていたいだけだからな。<br>ま、運が悪かったと思って諦めてくれ。"""
11_voice_NPC_5001_104#6,"""ここに戻ってくるのも<br>すっげえ久しぶりな感じがするな。"""
Zeno_mb16zeno_020#0,"""懐かしんでる場合じゃないってのは<br>わかってるけど……やっぱ、こう<br>帰ってこれる場所ってのはいいな。"""
11_voice_NPC_5001_105#4,"""なりゆきで六芒になっちまったけど<br>別に、接し方とかを<br>変える必要はないからな？"""
