11_voice_NPC_5059_101#0,"""ん……あぁ、あんたか。<br>ちょうどいい、これを持っていって。"""
Npc59_favs_before_020#0,"""アタシには邪魔なだけだから。"""
Npc59_favs_after_010#0,"""礼？\u3000そんなものはいらないよ。<br>それよりも、ダーカーを殺して<br>くることのほうが重要だ。"""
Npc59_favs_after_020#0,"""そいつを役に立てて、より一層<br>ダーカーを狩ってきてくれること。<br>それが一番の礼だよ。"""
Npc59_favs_present_010#0,"""Received 『Synthesizer』 from Revelle."""
Npc59_favs_present_020#0,"""Received 『シュートポルカ』 from Revelle."""
Npc59_favs_present_030#0,"""Received 『シンフォニックドライブ』 from Revelle."""
Npc59_favs_present_040#0,"""Received 『Synthesizer』 from Revelle."""
Npc59_favs_present_050#0,"""Received 『ワイルドラプソディ』 from Revelle."""
Npc59_favs_present_060#0,"""Received 『ダークスケルツォ』 from Revelle."""
Npc59_favs_present_070#0,"""Received 『Synthesizer』 from Revelle."""
Npc59_favs_present_080#0,"""Received 『オウルケストラー』 from Revelle."""
Npc59_favs_present_090#0,"""Received 『クイックマーチ』 from Revelle."""
Npc59_favs_present_100#0,"""Received 『Synthesizer』 from Revelle."""
Npc59_favs_present_add_001#0,"""Received 『<%skit_text>』 from Revelle."""
11_voice_NPC_5059_100#0,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_100#1,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_101#1,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_101#2,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_100#2,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_05_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#3,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_06_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#4,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_07_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_102#0,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_08_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#1,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb9_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#2,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb10_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#3,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb11_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
