HELLO#0,"""Aqui puedes identificar tus objetos."""
HELLO_FAV4#0,"""Aqui puedes identificar tus objetos."""
HELLO_FAV3#0,"""Aqui puedes identificar tus objetos."""
HELLO_FAV2#0,"""Aqui puedes identificar tus objetos."""
HELLO_FAV1#0,"""Aqui puedes identificar tus objetos."""
HELLO_FAV0#0,"""Aqui puedes identificar tus objetos."""
Q0#0,"""Aqui puedes identificar tus objetos."""
GOODBYE#0,"""Nos vemos la proxima vez!"""
GOODBYE_FAV4#0,"""Nos vemos la proxima vez!"""
GOODBYE_FAV3#0,"""Nos vemos la proxima vez!"""
GOODBYE_FAV2#0,"""Nos vemos la proxima vez!"""
GOODBYE_FAV1#0,"""Nos vemos la proxima vez!"""
GOODBYE_FAV0#0,"""Nos vemos la proxima vez!"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
