EnemyAppearance#0,"""มี  <%enemyname> บุกรุกเข้ามาในพื้นที่<br>ARKS เตรียมพร้อมไว้ให้ดี"""
SuccessEnemyAnnihilation#0,"""เราได้รับข้อมูลยืนยันว่าเป้าหมายได้ลดลง<br>ลดระดับการเตือนภัย"""
BossAppearance#0,"""ภาวะฉุกเฉิน<br>เราตรวจพบศัตรูที่แข็งแกร่ง<br>เตรียมเข้าปะทะทันที"""
SuccessBossAnnihilation#0,"""สัญญาณศัตรูหายไปแล้ว<br>ขอบคุณในความทุ่มเทของท่าน"""
EscapeEnemyAppearance#0,"""<%enemyname> ปรากฏตัว!<br>จงกำจัดมันและเก็บข้อมูลก่อนมันจะหายไป<br>เราต้องการรู้เกี่ยวกับพฤติกรรมของมัน"""
SuccessEscapeEnemyAnnihilation#0,"""ได้รับข้อมูล <%enemyname> แล้ว<br>ขอบคุณที่ช่วยเหลือ"""
FailureEscapeEnemyAnnihilation#0,"""ไม่พบข้อมูล <%enemyname><br>เราล้มเหลวในการเก็บข้อมูล แต่ขอบคุณมากที่ทุ่มเท"""
EscapeRareEnemyAppearance#0,"""พบการบุกรุกของศัตรูที่ยิ่งใหญ่ <%enemyname><br>เราได้ทำการร้องขอให้เก็บข้อมูลของพวกหายากเหล่านี้<br>กำจัดพวกมันและเก็บข้อมูลก่อนมันจะจากไป"""
SuccessEscapeRareEnemyAnnihilation#0,"""ได้รับข้อมูล <%enemyname> แล้ว<br>ขอบคุณที่ช่วยเหลือ"""
FailureEscapeRareEnemyAnnihilation#0,"""ไม่พบข้อมูล <%enemyname><br>อย่างไรก็ดี การเผชิญหน้ามันก็ทำให้เราได้ข้อมูลบางส่วน<br>ขอบคุณที่ช่วยเหลือ"""
EnemyAppearance#1,"""周囲に<%enemyname>の<br>局所的な大量発生を確認<br>アークス各員は警戒して下さい"""
SuccessEnemyAnnihilation#1,"""目標の反応消失を確認<br>警戒令を解除します"""
BossAppearance#1,"""緊急通達<br>強力な敵性反応を確認<br>早急な撃破をお願いします"""
SuccessBossAnnihilation#1,"""敵性反応、消失しました<br>各員の努力に感謝します"""
EscapeEnemyAppearance#1,"""逃走する<%enemyname>の<br>存在を確認\u3000奇行の原因調査のため<br>逃走前の討伐回収を願います"""
SuccessEscapeEnemyAnnihilation#1,"""<%enemyname>のデータ取得完了<br>協力感謝します"""
FailureEscapeEnemyAnnihilation#1,"""<%enemyname>の反応、ロスト……<br>データ取得は失敗しましたが<br>ここまでの協力、感謝します"""
EscapeRareEnemyAppearance#1,"""<%enemyname>の大量発生を確認<br>稀少個体のためデータ収集要求あり<br>逃走前の討伐回収を願います"""
SuccessEscapeRareEnemyAnnihilation#1,"""<%enemyname>のデータ取得を完了<br>尽力に感謝します"""
FailureEscapeRareEnemyAnnihilation#1,"""<%enemyname>の反応をロスト<br>しかし、遭遇だけでも貴重なデータです<br>協力、有り難うございました"""
EnemyAppearance#2,"""พบ <%enemyname><br>ระวังตัวด้วย พวกมันมาเร็วมาก"""
SuccessEnemyAnnihilation#2,"""ไม่พบเป้าหมายในระยะ<br>ลดระดับการเตือนภัย<br>ทำได้ดีมากทุกคน"""
BossAppearance#2,"""ภาวะฉุกเฉิน<br>เราตรวจพบศัตรูที่แข็งแกร่ง<br>เตรียมเข้าปะทะทันที"""
SuccessBossAnnihilation#2,"""สัญญาณศัตรูหายไปแล้ว<br>ขอบคุณในความทุ่มเทของท่าน"""
EscapeEnemyAppearance#2,"""<%enemyname> ปรากฏตัว!<br>จงกำจัดมันและเก็บข้อมูลก่อนมันจะหายไป<br>เราต้องการรู้เกี่ยวกับพฤติกรรมของมัน"""
SuccessEscapeEnemyAnnihilation#2,"""ได้รับข้อมูล <%enemyname> แล้ว<br>ทำได้ดีมาก"""
FailureEscapeEnemyAnnihilation#2,"""ไม่พบข้อมูล <%enemyname><br>เราล้มเหลวในการเก็บข้อมูล แต่ขอบคุณมากที่ทุ่มเท"""
EscapeRareEnemyAppearance#2,"""พบศัตรูหายาก <%enemyname><br>เราได้ทำการร้องขอให้เก็บข้อมูลของพวกหายากเหล่านี้<br>กำจัดพวกมันและเก็บข้อมูลก่อนมันจะจากไป"""
SuccessEscapeRareEnemyAnnihilation#2,"""ทำได้ดีมาก ขอบคุณมาก<br>เราได้ข้อมูลของ <%enemyname> แล้ว"""
FailureEscapeRareEnemyAnnihilation#2,"""ไม่พบข้อมูล <%enemyname><br>อย่างไรก็ดี การเผชิญหน้ามันก็ทำให้เราได้ข้อมูลบางส่วน<br>ขอบคุณที่ช่วยเหลือ"""
EnemyAppearance#3,"""<%enemyname>の反応を確認<br>アークス諸君、警戒を怠るなよ<br>すぐに来るぞ"""
SuccessEnemyAnnihilation#3,"""目標、ロストコンタクト<br>警戒を解除する<br>諸君、ご苦労だった"""
BossAppearance#3,"""緊急通達だ、よく聞け<br>強大な敵性反応が確認された<br>接敵次第即時撃破、いいな"""
SuccessBossAnnihilation#3,"""敵性反応、ロストコンタクト<br>申し分ない戦績だろう<br>諸君、よくやった"""
EscapeEnemyAppearance#3,"""<%enemyname>、マーク<br>データ収集対象だ、逃走前に<br>討伐、回収せよ"""
SuccessEscapeEnemyAnnihilation#3,"""<%enemyname>、データ取得完了<br>申し分ない戦績だぞ、諸君"""
FailureEscapeEnemyAnnihilation#3,"""<%enemyname>、ネガティブか<br>データは取得できなかったが<br>諸君に非はない、気にするな"""
EscapeRareEnemyAppearance#3,"""<%enemyname>は稀少個体だ<br>データ収集の要求も来ている<br>逃走前に討伐、回収せよ"""
SuccessEscapeRareEnemyAnnihilation#3,"""諸君、ご苦労だった<br>おかげで<%enemyname>の<br>データを回収することができたぞ"""
FailureEscapeRareEnemyAnnihilation#3,"""<%enemyname>、ネガティブ……<br>だが、遭遇だけでも十分なデータだ<br>ご苦労だった、諸君"""
EnemyAppearance#4,"""อ๊า!<br><%enemyname>!<br>ระวังตัวด้วยทุกคน!"""
SuccessEnemyAnnihilation#4,"""ไม่พบเป้าหมายในการตรวจจับ<br>ทำได้ดีมากทุกคน!"""
BossAppearance#4,"""ภาวะฉุกเฉิน<br>เราตรวจพบศัตรูที่แข็งแกร่ง<br>พวกมันอยู่ไม่ไกลจากที่นี่"""
SuccessBossAnnihilation#4,"""สัญญาณศัตรูหายไปแล้ว<br>สำเร็จแล้ว! ทำได้แล้ว!<br>ทุกคน สุดยอดจริงๆ!"""
EscapeEnemyAppearance#4,"""<%enemyname> ปรากฏตัว!<br>จงกำจัดมันและเก็บข้อมูลก่อนมันจะหายไป<br>เราต้องการรู้เกี่ยวกับพฤติกรรมของมัน"""
SuccessEscapeEnemyAnnihilation#4,"""ได้รับข้อมูล <%enemyname> แล้ว<br>ทำได้ดีมาก"""
FailureEscapeEnemyAnnihilation#4,"""โอ... พวกมันไปแล้ว<br>เราทำอะไรไม่ค่อยได้แล้ว..."""
EscapeRareEnemyAppearance#4,"""เจอ <%enemyname> เหรอ? ว้าว!<br>พวกมันหายากมาก!<br>รีบไปเอาข้อมูลมาหน่อย"""
SuccessEscapeRareEnemyAnnihilation#4,"""ทำได้ดีมาก!<br>เราได้ข้อมูล <%enemyname> แล้ว<br>ยอดไปเลย!"""
FailureEscapeRareEnemyAnnihilation#4,"""ไม่พบข้อมูล <%enemyname><br>อย่างไรก็ดี การเผชิญหน้ามันก็ทำให้เราได้ข้อมูลบางส่วน<br>ขอบคุณที่ช่วยเหลือ"""
EnemyAppearance#5,"""あ、あっ！<br><%enemyname>ですよ！<br>みなさん、気を付けてください！"""
SuccessEnemyAnnihilation#5,"""ほっ……目標反応、ロストです<br>みなさん、おつかれさまです！"""
BossAppearance#5,"""き、緊急通達、緊急です！<br>すっごい大きな敵の反応です！<br>距離は……え？\u3000す、すぐそこ！？"""
SuccessBossAnnihilation#5,"""敵性反応消滅……？<br>や、やった！\u3000やりましたよ！<br>みなさん、本当にすごいです！"""
EscapeEnemyAppearance#5,"""ああっ、<%enemyname>！<br>データ欲しいので、逃げる前に<br>倒しちゃってもらえますか！"""
SuccessEscapeEnemyAnnihilation#5,"""やった！\u3000<%enemyname>の<br>データ取得、完了しました！<br>ありがとうございます！"""
FailureEscapeEnemyAnnihilation#5,"""あうう……<%enemyname>に<br>逃げられちゃいました……<br>仕方がないですけどぉ……"""
EscapeRareEnemyAppearance#5,"""<%enemyname>！？\u3000すごい！<br>稀少な個体なんです！<br>データの収集をお願いします！"""
SuccessEscapeRareEnemyAnnihilation#5,"""やった、やった！<br><%enemyname>のデータだ！<br>ほんとうにありがとうございます！"""
FailureEscapeRareEnemyAnnihilation#5,"""<%enemyname>が……<br>うう……でもでも、会えただけでも<br>十分ですよ、うん、うんっ！"""
