name01#0,"""歐薩"""
name01#1,"""オーザ"""
text01#0,"""喔！長槍的練習<br>好像開始了。"""
text02#0,"""獵人的話，某種程度上不按牌理出牌，<br>好好加油吧！。"""
text03#0,"""關於『長槍』"""
text04#0,"""說明關於長槍的武裝系統。<br><br>學習技能「長槍武裝系統」時<br>武器快捷列上會新增武裝能量槽。<br><br>亂舞姿態可以累積長槍的武裝能量槽<br>亂舞姿態是進行攻擊後所施展的大幅揮舞動作。<br>按住<%WeaponAction>施展亂舞<br>武裝能量槽也可以任意累積。"""
text05#0,"""武裝能量槽以計量表為單位，最多可累計至三個，<br>只要使用光子技能就會消耗一個計量器<br>特殊能力計量器不會隨著時間經過而減少。<br><br>消耗武裝能量槽放出光子技能、<br>可以擴大攻擊範圍，變得更強。<br>愈揮舞愈強是長槍的武裝系統。"""
text01#1,"""おっ、パルチザンの練習<br>始めるみたいだな。"""
text02#1,"""ハンターなら、ある程度の無理や無茶も<br>なんとかなる、頑張ってこいよ。"""
text03#1,"""『パルチザン』について"""
text04#1,"""パルチザンのギアシステムについて、説明します。<br><br>スキル「パルチザンギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>パルチザンのギアゲージは、乱舞アクションにより蓄積されます。<br>乱舞アクションは、攻撃のあとに華麗に舞うアクションです。<br><%WeaponAction>を長押しして乱舞を行い<br>ギアゲージを任意で蓄積することも可能です。"""
text05#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>フォトンアーツを使用するとゲージを１つ分消費します。<br>時間経過によるギアゲージの減少はありません。<br><br>ギアゲージを消費して放つフォトンアーツは、<br>攻撃範囲が拡大され強力になります。<br>舞うほどに強くなるのがパルチザンのギアシステムです。"""
