name01#0,"""Hilda"""
name02#0,"""เกี่ยวกับการ [กระโดด]"""
name01#1,"""ヒルダ"""
name02#1,"""『 ジャンプ』について"""
11_voice_navi02_111#0,"""ที่ตรงนี้เหมาะกับการทดสอบเลยว่า<br>ท่านจะสามารถกระโดดได้คล่องแคล่วแค่ไหน"""
11_voice_navi02_112#0,"""ที่ด้านบนเนินนั่นจะมีกล่อง Supplies อยู่ <br>ลองกระโดดขึ้นไปเอามันมาดูซิ"""
text01#0,"""Tutorial: อธิบายเกี่ยวกับการ [กระโดด]<br><br>กด <%Jump> เพื่อกระโดด <br>หากกดปุ่มค้างไว้ก็จะทำให้สามารถกระโดดได้สูงมากยิ่งขึ้น"""
text02#0,"""Tutorial: อธิบายเกี่ยวกับการ [กระโดด]<br><br>กด <%Jump> เพื่อกระโดด <br>หากกดปุ่มค้างไว้ก็จะทำให้สามารถกระโดดได้สูงมากยิ่งขึ้น"""
text03#0,"""ท่านสามารถกระโดดข้ามสิ่งกีดขวางหรือพื้นที่ต่างระดับ <br>และสามารถโจมตีขณะกระโดดเพื่อกำจัดศัตรูที่บินอยู่ได้"""
text100#0,"""กดปุ่ม<%Jump>เพื่อขึ้นไปบนเนิน!"""
text1000#0,"""กดปุ่ม<%Jump>เพื่อขึ้นไปบนเนิน!"""
11_voice_navi02_111#1,"""おあつらえ向きだ。<br>跳躍機動についても確認しておけ。"""
11_voice_navi02_112#1,"""そこの丘の上に補給物資が<br>確認されている。<br>跳躍を駆使して、取ってこい。"""
text01#1,"""チュートリアル<br>『ジャンプ』について説明します。<br><br><%Jump>を押すことでジャンプができます。<br>キーを長押しすることでより高くジャンプすることも可能です。"""
text02#1,"""チュートリアル<br>『ジャンプ』について説明します。<br><br><%Jump>を押すことでジャンプができます。<br>ボタンを長押しすることでより高くジャンプすることも可能です。"""
text03#1,"""ジャンプを活用して、高低差のある地形を飛び越えたり<br>ジャンプ中に攻撃することで、空中の敵を倒すことも可能です。"""
text100#1,"""<%Jump>で丘に登れ！"""
text1000#1,"""<%Jump>で丘に登れ！"""
