name01#0,"""ヒルダ"""
name02#0,"""カメラの移動"""
skit01#0,"""惑星に生息するエネミーが<br>出現する可能性がある。"""
11_voice_navi02_000#0,"""周囲の警戒を怠るな。"""
linewindow#0,"""<br>『カメラ操作』について<br>"""
text00#0,"""『カメラ操作』について"""
text01#0,"""チュートリアル<br>『カメラ操作』について説明します。"""
text02#0,"""『カメラ操作』について説明します。"""
text03#0,"""<yellow>マウス<c>を動かすと<br>周囲を見渡せます。<br><br><%LockOn_N>で<br>標準の視点にリセットできます。"""
text04#0,"""<yellow>右スティック<c>で<br>周囲を見渡せます。<br><br><%LockOn_N>で<br>標準の視点にリセットできます。"""
text201#0,"""カメラを移動して、周りを見回せ！"""
text202#0,"""カメラを移動して、周りを見回せ！"""
text203#0,"""カメラの移動：マウス"""
text204#0,"""カメラの移動：右スティック"""
