name01#0,"""Oza"""
name02#0,"""Marlu"""
name03#0,"""Risa"""
name04#0,"""Afin"""
name05#0,"""Pati"""
name06#0,"""Tia"""
name07#0,"""Sarah"""
name01#1,"""オーザ"""
name02#1,"""マールー"""
name03#1,"""リサ"""
name04#1,"""アフィン"""
name05#1,"""パティ"""
name06#1,"""ティア"""
name07#1,"""サラ"""
linewindow#0,"""<br>The D-arkers are trying to get away!<br>"""
skit01#0,"""We have to beat them before they run off!"""
skit02#0,"""...We'd better kill them before they run away."""
skit03#0,"""Well, now. They're running for their lives, aren't they?<br>Well, not that it'll do them any good."""
skit04#0,"""Tch. Now they're running away all of a sudden!<br>Hold 'yer horses! We're not letting you get away!"""
skit05#0,"""Hoo hoo hoo...It looks like my strength scared them off!<br>That's right, try to run away!"""
skit06#0,"""No, no. It's bad if they get away.<br>I keep reminding you, but this tournament is ranked by Score, okay?"""
skit07#0,"""I don't like hitting things in the back as they run. But I dislike losing games even more."""
linewindow#1,"""<br>ダーカーが逃げ出そうとしている！<br>"""
skit01#1,"""逃げ切られる前に倒すぞ！"""
skit02#1,"""……逃げる前に仕留めないと。"""
skit03#1,"""あらあら、必死に逃げますねえ？<br>ま、無駄なんですけどねえ。"""
skit04#1,"""って、いきなり逃げ出しやがった！<br>待て待て、逃がすかっての！"""
skit05#1,"""ふふふ……あたしの力に<br>恐れをなしたとみえる！<br>そおら、逃げ惑えい！"""
skit06#1,"""いや、逃げられたらダメだからね。<br>何度も言うけどこれスコア勝負<br>なんだからね？"""
skit07#1,"""背中を狙うのは趣味じゃないけど<br>勝負事で負けるのはイヤなの。"""
skit01#0,"""/ci2 2 We have to beat them before they run off!"""
skit02#0,"""/ci2 2 ...We'd better kill them before they run away."""
skit03#0,"""/ci2 2 Well, now. They're running for their lives, aren't they?<br>Well, not that it'll do them any good."""
skit04#0,"""/ci2 2 Tch. Now they're running away all of a sudden!<br>Hold 'yer horses! We're not letting you get away!"""
skit05#0,"""/ci2 2 Hoo hoo hoo...It looks like my strength scared them off!<br>That's right, try to run away!"""
skit06#0,"""/ci2 2 No, no. It's bad if they get away.<br>I keep reminding you, but this tournament is ranked by Score, okay?"""
skit07#0,"""/ci2 2 I don't like hitting things in the back as they run. But I dislike losing games even more."""
skit01#1,"""/ci2 2 逃げ切られる前に倒すぞ！"""
skit02#1,"""/ci2 2 ……逃げる前に仕留めないと。"""
skit03#1,"""/ci2 2 あらあら、必死に逃げますねえ？<br>ま、無駄なんですけどねえ。"""
skit04#1,"""/ci2 2 って、いきなり逃げ出しやがった！<br>待て待て、逃がすかっての！"""
skit05#1,"""/ci2 2 ふふふ……あたしの力に<br>恐れをなしたとみえる！<br>そおら、逃げ惑えい！"""
skit06#1,"""/ci2 2 いや、逃げられたらダメだからね。<br>何度も言うけどこれスコア勝負<br>なんだからね？"""
skit07#1,"""/ci2 2 背中を狙うのは趣味じゃないけど<br>勝負事で負けるのはイヤなの。"""
