name01#0,"""アスタルテ"""
11_voice_NPC_5098_200#0,"""はじめまして！<br>私はアークスの基礎教導担当官<br>アスタルテです。"""
11_voice_NPC_5098_201#0,"""これより、実践型教導プログラム<br>「<c ff4f3f>アークスミッション<c>」についての<br>ご説明をいたします。"""
11_voice_NPC_5098_202#0,"""与えられた課題を次々と達成するだけで<br>自然と、アークスの基本が身につく……<br>それが「<c ff4f3f>アークスミッション<c>」です。"""
11_voice_NPC_5098_203#0,"""ともかく、実際に見てみましょう。<br>今回は、自動的に<br><c ff4f3f>メインメニュー<c>が開きますので……"""
11_voice_NPC_5098_204#0,"""「<c ff4f3f>クエスト<c>」の中にある<br>「<c ff4f3f>アークスミッション<c>」を<br>選択してください。"""
11_voice_NPC_5098_205#0,"""<c ff4f3f>アークスミッション<c>の確認方法について<br>ご理解いただけましたか？"""
11_voice_NPC_5098_206#0,"""それでは次に<br>課題となる「<c ff4f3f>ミッション<c>」の進め方を<br>確認しましょう。"""
11_voice_NPC_5098_207#0,"""目の前の「レベッカ」に話しかけて<br>「<c ff4f3f>ストーリークエスト<c>」から<br>「<c ff4f3f>シオンとの出会い<c>」を受注してください。"""
text100#0,"""<%Decide>で<yellow>アークスミッション<c>を選択してください。"""
text110#0,"""<%Decide>で<yellow>メインミッション<c>を選択してください。"""
text120#0,"""<%Decide>で<yellow>「シオンとの出会い」<c>を選んでください。"""
text130#0,"""<%Cancel>でアークスミッションを<yellow>閉じてください。<c>"""
text140#0,"""<%Cancel>でメインメニューを<yellow>閉じてください。<c>"""
