IncidentName#0,"""擊敗共棲敵人"""
TrialBeginMsg#0,"""包括前來支援的敵人在內<br>擊敗所有的敵人！"""
TrialAbstract#0,"""包括前來支援的敵人在內<br>擊敗所有的敵人！"""
NpcComOnBegin#0,"""發現新的敵方存在正在接近！<br>請將所有敵人全數擊敗！"""
NpcComOnSuccess#0,"""/face2 已確認擊敗敵方存在！<br>辛苦了！"""
NpcComOnBegin#1,"""好像有新的敵人來了。<br>你必須擊敗所有敵方存在。"""
NpcComOnSuccess#1,"""敵方存在的反應消失。<br>做得很好。"""
NpcComOnBegin#2,"""啊，好像有新的敵人來了！<br>請把牠們全部解決掉！"""
NpcComOnSuccess#2,"""/face2 敵意反應，確定已經消失！<br>辛苦了！"""
NpcComOnBegin#3,"""新たな敵性存在の反応を感知。<br>全対象の撃破が目的となります。"""
NpcComOnSuccess#3,"""敵性存在の反応、消失。<br>十分な成果です。"""
NpcComOnBegin#4,"""おやっ、新手が出現しましたね！<br>全部まとめて倒しちゃいましょう！"""
NpcComOnSuccess#4,"""敵性反応の消失を確認！<br>お疲れさまでした！"""
