IncidentName#0,"""全てのエネミーを撃破せよ！"""
TrialBeginMsg#0,"""銃座を利用して全てのエネミーを撃破せよ！"""
TrialAbstract#0,"""銃座を利用して全てのエネミーを撃破せよ！"""
NpcComOnPreBegin#0,"""新たな敵の接近を確認しました。<br>各員、注意してください。"""
NpcComOnBegin#0,"""周辺座標に銃座を転送します。<br>活用してください。"""
NpcComOnSuccess#0,"""/face2 全ての敵の殲滅を確認。<br>周辺地域の反応もありません。<br>お疲れ様でした。"""
NpcComOnFailure#0,"""枠のみ。不要"""
HelpMessage#0,"""銃座の転送を完了。<br>それを利用して、敵の殲滅を<br>お願いします。"""
EmplacementBroke#0,"""破壊された銃座の補填を行います。<br>あと$(0)秒で完了です。"""
EmplacementRespawn#0,"""銃座の再転送、完了。<br>よろしくお願いします。"""
EnergyStandRespawn#0,"""消費した弾倉を補充しました。"""
NpcComOnPreBegin#1,"""新たな敵の反応が近づいている。<br>面倒だな……注意しろ。"""
NpcComOnBegin#1,"""周辺座標に銃座を転送する。<br>うまく使え。"""
NpcComOnSuccess#1,"""増援を含むすべての敵の殲滅を確認。<br>状況終了だ。"""
NpcComOnFailure#1,"""枠のみ。不要"""
HelpMessage#1,"""周辺座標に銃座を転送した。<br>そいつを利用して敵を殲滅しろ。"""
EmplacementBroke#1,"""破壊された銃座の補填を行う。<br>$(0)秒後に再転送する。"""
EmplacementRespawn#1,"""銃座再転送、完了。"""
EnergyStandRespawn#1,"""消費した弾倉を補充した。"""
NpcComOnPreBegin#2,"""敵さんが近づいてきますよー！<br>これは……注意ですよー！"""
NpcComOnBegin#2,"""/face2 銃座を転送しちゃいます！<br>有効活用してくださいー。"""
NpcComOnSuccess#2,"""/face2 敵さんの反応消失ですー！<br>お疲れ様でした！<br>通常任務に戻りましょう！"""
NpcComOnFailure#2,"""枠のみ。不要"""
HelpMessage#2,"""/face2 近くに銃座を転送できたと思います！<br>ガンガン使っちゃってください！"""
EmplacementBroke#2,"""壊された銃座を転送します！<br>再転送まで$(0)秒っ！"""
EmplacementRespawn#2,"""銃座、再転送できましたよね？"""
EnergyStandRespawn#2,"""弾倉、補給しましたよー！"""
NpcComOnPreBegin#3,"""接近する敵性反応を感知。<br>警戒してください。"""
NpcComOnBegin#3,"""そちらに銃座を転送します。<br>適時利用してください。"""
NpcComOnSuccess#3,"""全ての敵性反応、消失。<br>通常任務に戻ってください。"""
NpcComOnFailure#3,"""枠のみ。不要"""
HelpMessage#3,"""銃座、転送完了。<br>適時利用し、敵性存在の殲滅を。"""
EmplacementBroke#3,"""破壊された銃座を交換します。<br>再転送まで、あと$(0)秒。"""
EmplacementRespawn#3,"""銃座、再転送完了。"""
EnergyStandRespawn#3,"""弾倉、補充完了。"""
NpcComOnPreBegin#4,"""新たな敵性反応が接近中！<br>注意してください！"""
NpcComOnBegin#4,"""周辺座標に銃座を転送しました！<br>がんがん利用しちゃってください！"""
NpcComOnSuccess#4,"""敵性反応、消失確認！<br>流石ですね、お疲れさまでした！"""
NpcComOnFailure#4,"""枠のみ。不要"""
HelpMessage#4,"""銃座の転送、完了しました！<br>うまく使ってくださいね！"""
EmplacementBroke#4,"""破壊された銃座を交換します！<br>再転送まで$(0)秒！"""
EmplacementRespawn#4,"""銃座の再転送、完了しました！"""
EnergyStandRespawn#4,"""弾倉、補充しました！<br>がんがん撃っていきましょう！"""
