text00#0,"""關於『任務點數』"""
text01#0,"""擊倒下列龍族敵人<br>將可獲得任務點數。<br><br>狄卡拉\u30002PT"""
text02#0,"""擊倒下列龍族敵人<br>將可獲得任務點數。<br><br>索爾狄卡拉\u30002PT"""
text03#0,"""擊倒下列龍族敵人<br>將可獲得任務點數。<br><br>擺尾龍\u30003PT"""
text04#0,"""擊倒下列龍族敵人<br>將可獲得任務點數。<br><br>天空龍族戰士\u30003PT"""
text05#0,"""擊倒下列龍族敵人<br>將可獲得任務點數。<br><br>天空鱷龍\u30003PT"""
text00#1,"""『クエストポイント』について"""
text01#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ディガーラ\u30002PT"""
text02#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ソル・ディガーラ\u30002PT"""
text03#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ペンドラン\u30003PT"""
text04#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>シル・サディニアン\u30003PT"""
text05#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>バリドラン\u30003PT"""
