msc_011440_5010#0,"""Hah!"""
msc_011440_5020#0,"""Yah!"""
msc_011440_5030#0,"""Toh!"""
msc_011440_5040#0,"""Haaaah!"""
msc_011440_0010#0,"""...We did it."""
msc_011440_0020#0,"""You did great, Aina."""
msc_011440_0030#0,"""Thanks, you two!"""
msc_011440_0040#0,"""Those were nice moves. You've improved a lot in a short amount of time."""
msc_011440_0050#0,"""It's because of the advice you gave me!"""
msc_011440_0060#0,"""Communications restored. ...I'm not picking up Nex Aelio. Wait, did you..."""
msc_011440_0070#0,"""Crawford, mission complete. We'll be returning shortly."""
msc_011440_0080#0,"""Bruder!"""
msc_011440_0090#0,"""...Ahem. Yes, please do."""
msc_011440_0100#0,"""...Let's head back."""
