msc_027110_0010#0,"""……ここも、見たことがある。"""
msc_027110_0020#0,"""これは……なに？"""
msc_027110_0030#0,"""……第三世代アークスの製造装置だ。"""
msc_027110_0040#0,"""もしかして、“星渡り”はここから……？"""
msc_027110_0050#0,"""そうだ。"""
msc_027110_0060#0,"""我々が理想の存在として掲げた<br>“アークス”というものについて話をしよう。"""
msc_027110_0070#0,"""アークスは、1000年前の大きな戦いで<br>勇名をはせた最強の戦闘集団だ。"""
msc_027110_0080#0,"""彼らの活躍により、当時の戦いは終焉を迎えた。"""
msc_027110_0090#0,"""それからは、長きに渡る平和の時代が訪れた。"""
msc_027110_0100#0,"""同時に、アークスの強大な力は不要となり、<br>その存在は忘れ去られていった……。"""
msc_027110_0110#0,"""彼らの存在が、再び注目されるようになったのは、<br>スターレスが現れてからだ。"""
msc_027110_0120#0,"""外敵への脅威に対抗するために、<br>我々はかつてのアークスの力が必要と考えた。"""
msc_027110_0130#0,"""だが、残念ながら多くの記録は、<br>歴史のなかで失われていた……。"""
msc_027110_0140#0,"""回収できたのは、断片的な戦闘記録と、<br>一部アークスの遺伝情報……。"""
msc_027110_0150#0,"""その遺伝情報のひとつは、<br>コールドスリープされたアークスによるものだった。"""
msc_027110_0160#0,"""コールドスリープ？"""
msc_027110_0170#0,"""つまり、休眠状態の<br>かつてのアークスが見つかったということね？"""
msc_027110_0180#0,"""ああ。"""
msc_027110_0190#0,"""とはいえ、その者について、<br>詳しいことはわからずじまいだったがな。"""
msc_027110_0200#0,"""……どういうこと？"""
msc_027110_0210#0,"""凍結解除ができなかったのだ。<br>厳重なプロテクトでな。"""
msc_027110_0220#0,"""やむなく、そのアークスのことはあとに回し、<br>ほかの手がかりをもとに研究を始めた。"""
msc_027110_0230#0,"""まずは、遺伝情報から、<br>フォトンに関する因子の解析に着手した。"""
msc_027110_0240#0,"""さらに、戦闘記録をもとに、<br>さまざまなシミュレーションをおこなった。"""
msc_027110_0250#0,"""それらをもとにして続けた<br>長きに渡る実験……。"""
msc_027110_0260#0,"""その集大成が、909……お前だ。"""
msc_027110_0270#0,"""話はわかったわ。"""
msc_027110_0280#0,"""……いくつか、質問をさせて。"""
msc_027110_0290#0,"""なんだ？"""
msc_027110_0300#0,"""この上にある都市にいた人々はどうしたの？"""
msc_027110_0310#0,"""……ふむ。"""
msc_027110_0320#0,"""最初期のリサージェントアークスの人員は、<br>およそ10万人。"""
msc_027110_0330#0,"""そのほとんどが、ここで生活していた。"""
msc_027110_0340#0,"""優秀な頭脳が集結し、<br>“アークスの創造”は進められた。"""
msc_027110_0350#0,"""最初の“新たなアークス”を、<br>我々は“第一世代アークス”と呼んだ。"""
msc_027110_0360#0,"""第一世代の実験は、後の世代とは、<br>大きく異なる点があった。"""
msc_027110_0370#0,"""かつてのアークスの遺伝情報を、<br>被験者の身体に直接組み込んだのだ。"""
msc_027110_0380#0,"""……直接ですって？"""
msc_027110_0390#0,"""脆弱な心身に、いきなり大きな<br>フォトンの情報が流れ込んだりしたら……。"""
msc_027110_0400#0,"""そのとおりだ。"""
msc_027110_0410#0,"""並大抵の身体、精神では、<br>フォトンの暴流に耐えられない。"""
msc_027110_0420#0,"""……多くは拒否反応を示し絶命した。"""
msc_027110_0430#0,"""最初の反応に耐えた者も、<br>やがて心身に変調が生じ、実験から外れていった。"""
msc_027110_0440#0,"""研究者たちのなかでは、<br>実験に対する意見がわれた。"""
msc_027110_0450#0,"""対立は、言葉によるやりとりにとどまらず、<br>幾度かの武力衝突が起きた。"""
msc_027110_0460#0,"""そうしたなかで、離反者が増え、<br>最終的に残ったのは初期の１割……。"""
msc_027110_0470#0,"""さらに半数の人員が、<br>実験中の事故などで失われた。"""
msc_027110_0480#0,"""……残された研究員たちは実験を進め、<br>ハルファの開発に着手した。"""
msc_027110_0490#0,"""アークスの遺伝情報に順応した<br>第一世代の能力を、さらに高めるためにな。"""
msc_027110_0500#0,"""………。"""
msc_027110_0510#0,"""かくいう私も、<br>その第一世代アークスのひとりだ。"""
msc_027110_0520#0,"""私の、精神をほかの“モノ”に移す能力は、<br>一連の実験中に発露したものだ。"""
msc_027110_0530#0,"""この力を用いて、<br>私は幾度となく“身体”を入れ替えてきた……。"""
msc_027110_0540#0,"""そして、スターレスの脅威を知る<br>唯一の存在として、この実験を遂行してきたのだ。"""
msc_027110_0550#0,"""リサージェントアークスの、<br>最後のひとりとしてな。"""
msc_027110_0560#0,"""最後の……ひとり……。"""
msc_027110_0570#0,"""……この先に、<br>お前たちに見せたいものがある。"""
