name_7007#0,"""リューリン"""
msn_011063_006_0010#0,"""どうですか？\u3000ちゃんと習得できました？<br>違うスキル……覚えてたりしないですよね？"""
msn_011063_006_0020#0,"""クラススキルは、習得したと言っても、<br>使い方を記憶の一部に転写したにすぎません。"""
msn_011063_006_0030#0,"""使いこなせるようになるまでには、修練が必要になります。<br>少しずつ、体になじませていってください。"""
msn_011063_006_0040#0,"""少しずつ、体になじませていってください。"""
msn_011063_006_0050#0,"""それから、あなたのアイテムパックに物資を送っておきました。<br>武器とか、クラススキルに関連するパスとか。"""
msn_011063_006_0055#0,"""それから、あなたのアイテムパックに物資を送っておきました。"""
msn_011063_006_0060#0,"""クラスも、武器も、ヒトによって合う、合わないがあると思います。<br>自分なりのスタイルを見つけていってください。"""
msn_011063_006_0070#0,"""あとは……、シティの南側にある広場に、<br>各クラスの教導官がいます。"""
msn_011063_006_0080#0,"""ボクより詳しく、いろいろと教えてくれると思うので、<br>相談してみてください。"""
msn_011063_006_0090#0,"""ふー……。ふだん、あんまりしゃべらないから、<br>ちょっと疲れちゃいました。"""
msn_011063_006_0100#0,"""ちゃんと説明できてました……よね？"""
msn_011063_006_0110#0,"""ボクからは、これで終わりです。<br>これから、よろしくお願いします。"""
msn_011063_006_0401#0,"""プリムソード、プリムナックル、プリムライフル、プリムマシンガン、プリムロッド、プリムウォンド、プリムカタナ、プリムブーツ、N-全スキルツリー初期化を入手しました。"""
msn_011063_006_0501#0,"""プリムソード、プリムナックル、プリムライフル、プリムマシンガン、プリムロッド、プリムウォンド、プリムカタナ、プリムブーツを入手しました。"""
msn_011063_006_0601#0,"""エクステルシリーズの＋39武器一式、レネッサアーマ＋39を3個、N-全スキルツリー初期化を入手しました。"""
msn_011063_006_0602#0,"""エクステルシリーズの＋39武器一式、レネッサアーマ＋39を3個入手しました。"""
