name_7007#0,"""綠琳|リューリン"""
msn_011063_007_0010#0,"""怎麽樣？有好好習得技能嗎？<br>該不會……學了其他技能吧？"""
msn_011063_007_0020#0,"""說是學習職業技能，<br>其實只是把使用法複製到你的記憶當中去而已。"""
msn_011063_007_0030#0,"""想要熟練運用的話，還要多多修煉才行。<br>讓你的身體慢慢地適應吧。"""
msn_011063_007_0040#0,"""讓你的身體慢慢地適應吧。"""
msn_011063_007_0050#0,"""然後，我往你的背包裡傳送了一些道具進去。<br>比如武器，還有和職業技能相关的票證什麽的。"""
msn_011063_007_0055#0,"""然後，我往你的背包裡傳送了一些道具進去。"""
msn_011063_007_0060#0,"""每個人都有適合自己的職業、武器。<br>按照自己的風格來選就好了。"""
msn_011063_007_0070#0,"""然後就是……都市南邊的廣場，<br>有各個職業的教官在那裡。"""
msn_011063_007_0080#0,"""我覺得他們比我更加瞭解各個職業，也會教你各種各樣的東西，<br>所以不如就去問問他們吧。"""
msn_011063_007_0090#0,"""呼－－……平時不說這麽多話，<br>講得都有點累了。"""
msn_011063_007_0100#0,"""我應該已經說清楚……了吧？"""
msn_011063_007_0110#0,"""我要說的就這麽多了。<br>今後還請多多指教。"""
msn_011063_007_0401#0,"""獲取了初式大劍、初式鋼拳、初式步槍、初式雙機槍、初式長杖、初式短杖、初式拔劍、初式魔裝腳、N-全天賦樹初始化。"""
msn_011063_007_0501#0,"""獲取了初式大劍、初式鋼拳、初式步槍、初式雙機槍、初式長杖、初式短杖、初式拔劍、初式魔裝腳。"""
