11_voice_NPC_5017_100#0,"""ถ้าเกิดบาดเจ็บขึ้นมา ให้รีบมาหาข้าเลยนะ<br>รวมทั้งก่อนออกทำภารกิจด้วย<br>ยินดีให้การบริการเสมอ"""
11_voice_NPC_5017_100#1,"""怪我をしたら、すぐ来てくださいね。<br>冒険に出る前にも、来てくださいね。<br>いつでも歓迎しています。"""
11_voice_NPC_5017_100#2,"""Tonic ที่คุณรับจาก Medical Center<br>จะมีผลอยู่แค่ระยะเวลาหนึ่งเท่านั้น"""
Filia_02_020#0,"""ถ้าเราสามารถทำให้มันมีผลถาวรได้เมื่อไหร่<br>ARKS ทุกคนก็คงไม่ต้องเจอกับสถานการณ์<br>ที่ยากลำบากอีกต่อไป..."""
11_voice_NPC_5017_100#3,"""メディカルセンターで得られる<br>ブーステッドは一時的なものです。"""
Filia_02_020#1,"""もし、これを永続化できたなら<br>アークスの皆さんだけに戦闘の責務を<br>押しつけたりせずにすむのですが……"""
11_voice_NPC_5017_104#0,"""ถึงแม้ท่านจะเก่งแค่ไหน ก็ไม่ได้แปลว่าท่าน<br>จะไม่มีวันแพ้นะ กรุณาอย่าประมาทไม่ว่าท่าน<br>กำลังได้เปรียบแค่ไหนก็ตาม"""
11_voice_NPC_5017_104#1,"""どれだけ強い人であっても<br>無敵ではありません。<br>用心だけは、忘れずにお願いします。"""
11_voice_NPC_5017_101#0,"""Matoi สบายดี<br>เห็นไปโน่นมานี่อยู่คงกำลังยุ่งนิดหน่อยล่ะมั้ง"""
11_voice_NPC_5017_101#1,"""マトイさんは元気ですよ。<br>あっちこっち行きたがって<br>ちょっと困っちゃうぐらいです。"""
11_voice_NPC_5017_108#0,"""ไม่ใช่ว่า Matoi ไม่ชอบคุยกับคนอื่นหรอกนะ<br>ถึงภายนอกจะเห็นเค้าเป็นแบบนั้นก็เถอะ"""
Filia_05_020#0,"""อืม...เป็นคนที่มีอดีตลึกลับ<br>ไม่แน่อาจเคยต้องอยู่อย่างโดดเดี่ยวมาตลอดก็ได้?"""
11_voice_NPC_5017_108#1,"""マトイさんは喋るのが苦手なのではなく<br>ああいう対応が身体に染みついていると<br>考えるべきなのだと思います。"""
Filia_05_020#1,"""うーん……ますます謎な過去ですね。<br>ずっと一人で動いていたんでしょうか？"""
11_voice_NPC_17_100#0,"""อย่าทำอะไรที่ต้องเสี่ยงอันตรายนะ<br>สำหรับ Matoi แล้ว<br>ท่านคือทุกสิ่งทุกอย่างของเค้า นี่ข้าไม่ได้พูดเกินจริงนะ"""
11_voice_NPC_17_100#1,"""無理はしないで下さいね。<br>マトイさんにとっては、あなたが<br>全てといっても過言ではありません。"""
11_voice_NPC_17_100#2,"""อย่าฝืนตัวเองมากเกินไปล่ะกันนะ<br>การจะบอกว่าท่านถือเป็นทุกสิ่งสำหรับ Matoi นั้น<br>ถือได้ว่าไม่ใช่การพูดอะไรที่เกินจริงเลย"""
11_voice_NPC_17_100#3,"""無理はしないで下さいね。<br>マトイさんにとっては、あなたが<br>全てといっても過言ではありません。"""
11_voice_NPC_17_100#4,"""อย่าทำอะไรที่ต้องเสี่ยงอันตรายนะ<br>สำหรับ Matoi แล้ว<br>ท่านคือทุกสิ่งทุกอย่างของเค้า นี่ข้าไม่ได้พูดเกินจริงนะ"""
11_voice_NPC_17_100#5,"""無理はしないで下さいね。<br>マトイさんにとっては、あなたが<br>全てといっても過言ではありません。"""
11_voice_NPC_5017_100#4,"""สภาพจิตใจของ Matoi ตอนนี้ดีขึ้นมากแล้ว"""
Filia__mb12_020#0,"""แถมระยะนี้อาการปวดหัวก็ไม่เป็นแล้วด้วย<br>ค่อยโล่งอกขึ้นหน่อย"""
11_voice_NPC_5017_100#5,"""マトイさんの調子、ここのところは<br>とてもいいそうです。"""
Filia__mb12_020#1,"""最近は頭痛も訴えなくなりましたし<br>ちょっと安心ですね。"""
11_voice_NPC_5017_100#6,"""สภาพจิตใจของ Matoi ตอนนี้ดีขึ้นมากแล้วล่ะ"""
Filia__mb13_020#0,"""แถมระยะนี้อาการปวดหัวก็ไม่เป็นแล้วด้วย<br>ค่อยโล่งอกขึ้นหน่อย"""
11_voice_NPC_5017_100#7,"""マトイさんの調子、ここのところは<br>とてもいいそうです。"""
Filia__mb13_020#1,"""最近は頭痛も訴えなくなりましたし<br>ちょっと安心ですね。"""
11_voice_NPC_5017_100#8,"""สภาพจิตใจของ Matoi ตอนนี้ดีขึ้นมากแล้วล่ะ"""
Filia__mb14_020#0,"""แถมระยะนี้อาการปวดหัวก็ไม่เป็นแล้วด้วย<br>ค่อยโล่งอกขึ้นหน่อย"""
11_voice_NPC_5017_100#9,"""マトイさんの調子、ここのところは<br>とてもいいそうです。"""
Filia__mb14_020#1,"""最近は頭痛も訴えなくなりましたし<br>ちょっと安心ですね。"""
11_voice_NPC_5017_100#10,"""สภาพร่างกายของคุณ Matoi น่ะก็ดีอยู่หรอกนะคะ <br>แต่ชั้นรู้สึกว่าช่วงเวลาที่เค้าเหม่อ<br>และก็จ้องมองไปรอบๆ จะเพิ่มมากขึ้นค่ะ"""
Filia__mb15_020#0,"""ถึงแม้ชั้นจะถามเค้าว่ามองอะไรอยู่<br>แต่เค้าก็ตอบชั้นมาแบบลอยๆ น่ะค่ะ<br>ช่างเป็นเด็กที่ประหลาดจริงๆ เลยนะคะ"""
11_voice_NPC_5017_100#11,"""マトイさんは調子よさそうなのですが<br>ぼうっと周りを眺めている時間が<br>増えたような気がします。"""
Filia__mb15_020#1,"""何を見ていたのかと尋ねても<br>ふわっとしたことを言うだけです。<br>不思議な子ですよ、本当に。"""
11_voice_NPC_5017_105#0,"""......คุณ Matoi น่ะจากนี้ไปห้ามออกไปข้างนอก<br>ซักระยะนึงค่ะ เรื่องทดสอบเองก็ใช่อยู่หรอก<br>แต่ก็ต้องตรวจสอบอะไรหลายๆ อย่างด้วยค่ะ"""
Filia__mb16zeno_020#0,"""การจะต่อสู้ด้วยพลังที่แม้แต่ตัวเองก็ไม่รู้ว่า<br>มันคืออะไร...... เป็นเรื่องที่ห้ามทำเลยค่ะ<br>เพราะมันคือเรื่องที่อันตรายมาก"""
11_voice_NPC_5017_105#1,"""……マトイさんは、当分外出禁止です。<br>検査もそうですし、他にもいろいろ<br>調べないといけません。"""
Filia__mb16zeno_020#1,"""自分でも何で持っているのかわからない<br>力で戦うなんて……本当はダメです。<br>とっても、危ないことなんです。"""
