11_voice_NPC_5062_100#0,"""先輩，可以過來一下嗎？<br>其實有東西想給你......"""
favs_before_020#0,"""總是受你照顧<br>。多少也想回饋一下......"""
favs_before_030#0,"""請收下這個！"""
favs_after_010#0,"""總是聽我胡說八道<br>真的很謝謝你。"""
favs_after_020#0,"""如果前輩願意的話......<br>以後希望可以永遠請你多加指教......"""
favs_after_030#0,"""啊、恩......<br>總是謝謝你了!<br>今後還請你多多指教！"""
11_voice_NPC_5062_100#1,"""先輩、ちょっといいですか？<br>実はお渡ししたいものが……"""
favs_before_020#1,"""その、いつもいつも<br>お世話になってばかりですので<br>少しでもお返しがしたくて……"""
favs_before_030#1,"""これ、受け取って下さい！"""
favs_after_010#1,"""いつも無茶を聞いてもらって<br>本当に感謝しています。"""
favs_after_020#1,"""先輩さえよければ、ですけど……<br>これからも、末永くよろしく<br>お願いできれば……なんて。"""
favs_after_030#1,"""あ、う、ええっと……<br>いつもありがとうございます！<br>これからもよろしくお願いします！"""
favs_present_010#0,"""從羅提那邊領到了『合成器』。"""
favs_present_020#0,"""從羅提那邊領到了『對空一槍』。"""
favs_present_030#0,"""從羅提那邊領到了『蛇籠空升擊』。"""
favs_present_040#0,"""從羅提那邊領到了『合成器』。"""
favs_present_050#0,"""從羅提那邊領到了『霸腿三連射』。"""
favs_present_060#0,"""從羅提那邊領到了『顫慄爆炸』。"""
favs_present_070#0,"""從羅提那邊領到了『合成器』。"""
favs_present_080#0,"""從羅提那邊領到了『顫慄爆炸』。"""
favs_present_090#0,"""從羅提那邊領到了『披斬亂舞』。"""
favs_present_100#0,"""從羅提那邊領到了『旋身射擊斬』。"""
favs_present_010#1,"""ロッティから『シンセサイザー』を受け取りました。"""
favs_present_020#1,"""ロッティから『エインラケーテン』を受け取りました。"""
favs_present_030#1,"""ロッティから『サーペントエア』を受け取りました。"""
favs_present_040#1,"""ロッティから『シンセサイザー』を受け取りました。"""
favs_present_050#1,"""ロッティから『アディションバレット』を受け取りました。"""
favs_present_060#1,"""ロッティから『スリラープロード』を受け取りました。"""
favs_present_070#1,"""ロッティから『シンセサイザー』を受け取りました。"""
favs_present_080#1,"""ロッティから『スリラープロード』を受け取りました。"""
favs_present_090#1,"""ロッティから『スラッシュレイヴ』を受け取りました。"""
favs_present_100#1,"""ロッティから『クライゼンシュラーク』を受け取りました。"""
11_voice_NPC_5062_100#2,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_01_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#3,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_01_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#4,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_02_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#5,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_02_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#6,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_03_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#7,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_03_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#8,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_04_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#9,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_04_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#10,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_05_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#11,"""あ、その……<br>アークスをめざして勉強してます。"""
