text01001#0,"""こんにちはっ！<br>貴方、アークスよね？"""
11_voice_NPC_5080_100#0,"""うん、うんうん、合格っ！"""
text01003#0,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#0,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
11_voice_NPC_5080_104#0,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#0,"""無事フーリエさんの目的も達成！<br>すべてカンペキに完了だねっ！"""
11_voice_NPC_5080_101#0,"""よかったぁー、うん！<br>貴方のおかげだよ！"""
text03003#0,"""本当に、ほんっとーにありがとう！"""
text03004#0,"""これ、わたしからせめてもの<br>感謝の印なんだけど……<br>受け取ってくれるかなっ！"""
text03005#0,"""混じりっ気なし、愛情たっぷりの<br>特製特注チョコレート！<br>ハッピーバレンタインっ！"""
11_voice_NPC_5080_100#1,"""ふふっ！<br>完成が楽しみだなぁ！"""
11_voice_NPC_5080_100#2,"""バレンタインってさ<br>やっぱり女の子にとっては<br>大事なイベントだからねっ！"""
text02022#0,"""だからおねがいっ！<br>貴方の協力が必要なのっ！"""
11_voice_NPC_5080_100#3,"""バレンタインがやってきたー！<br>というわけで、みんなが幸せになる<br>チョコレート作りに挑戦するよ！"""
text02#0,"""もちろん<br>素材もレシピもとことんこだわって<br>最高のものを作るつもりなの！"""
text03#0,"""そんなわけで、いろいろと<br>協力してほしいことがあるんだけど<br>話を聞いてくれると嬉しいな！"""
text01#0,"""今どんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5080_100#4,"""ふふっ！<br>チョコレートの完成が楽しみだなあ！"""
text01#1,"""バレンタインってさ<br>やっぱり恋している人たちにとっては<br>大事なイベントだからねっ！"""
text02#1,"""だからお願いっ！<br>貴方の協力が必要なのっ！"""
text01#2,"""よーし！<br>すべてカンペキに完了だねっ！"""
text02#2,"""よかったぁー、うん！<br>貴方のおかげだよ！"""
11_voice_NPC_5080_100#5,"""イベントで愛情たっぷりの<br>特製チョコレートを配るから<br>楽しみにしてねっ！"""
text04#0,"""本当に、ほんっとーにありがとう！<br>ハッピーバレンタインっ！"""
