text01001#0,"""午安！<br>你是ARKS的成員吧？"""
11_voice_NPC_5121_100#0,"""嗯，嗯嗯，合格！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
text01004#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
11_voice_NPC_5121_104#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
text03001#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
11_voice_NPC_5121_101#0,"""太好了，嗯！<br>都是托你的福喔！"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
11_voice_NPC_5121_100#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
11_voice_NPC_5121_104#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""お疲れ様っ！<br>貴方のおかげでみんなもう<br>笑顔笑顔、笑顔満開だよっ！"""
11_voice_NPC_5121_101#1,"""ここまでのイベントになるとは<br>思ってもみなかったなぁ……<br>ほんっとーに、ありがとう！"""
11_voice_NPC_5121_100#2,"""情人節<br>對女生來說，<br>真的是很重要的節日耶！"""
11_voice_NPC_5121_100#3,"""お祝い事にバレンタインと<br>みんな笑顔になることばっかりだね！<br>わたしもしっかり盛り上げないと！"""
11_voice_NPC_5121_100#4,"""呵呵！<br>很期待製作完成啊！"""
11_voice_NPC_5121_100#5,"""やってもらいたいことたっくさん！<br>今、いろいろ準備してるから<br>待っててねっ！"""
