text10#0,"""フォトンについて"""
text20#0,"""クラリスクレイスについて"""
text30#0,"""オメガについて"""
text999#0,"""この場を離れる"""
text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
sq01_010#0,"""アークスシップも変わったねー。<br>艦橋、だっけ？\u3000ここ。<br>さらにハイテクになってるしさー。"""
sq01_020#0,"""落ち着いてきたら、外もふらふら<br>見回らせてもらおうかなー。<br>わたし、誰にも気付かれないしさ。"""
11_voice_NPC_5430_104#0,"""ルーサーかぁ……<br>いや、わたしもとびっきり悪いイメージ<br>しかもってないけどね。"""
sq02_020#0,"""こっちの世界との繋がりって考えると<br>今のところ唯一のものだから<br>無下にもしにくいのがなんとも。"""
sq02_030#0,"""でもね、あいつきっとどんな状態でも<br>口だけ達者なひねくれ者だろうから<br>のせられないように注意、だよ。"""
sq03_010#0,"""オメガが持つエネルギーの増大に<br>比例してダーカーも強力になる。"""
11_voice_NPC_5430_105#0,"""アカシックレコードと一体化<br>してるからこその現象だろうね。"""
sq03_030#0,"""ダーカーの力、その記録が<br>書き換えられてるってこと。<br>……想像以上にやっかいだよ、これ。"""
11_voice_NPC_5430_104#1,"""フォトンって感覚が一番重要だからさ<br>二代目ちゃんの「嫌な予感」って<br>無視できないんだよねー。"""
sq04_020#0,"""わたしはこう、都合良く<br>書き換えたりしちゃう人だから<br>そういうのにはうとくてさ。"""
sq04_030#0,"""気を付けるに越したことはない。<br>くれぐれも、無理はしないようにね。<br>二代目ちゃん、泣いちゃうよ？"""
11_voice_NPC_5430_104#2,"""聞いた感じ、わたしのイメージだと<br>フォトナーの記録とアークスの記録が<br>ミックスされてる、って思うかなあ。"""
sq05_020#0,"""例えば、ゲッテムハルトって人は<br>アークスの記録にしかないでしょ？<br>どっちの要素もあるよね、これ。"""
sq05_030#0,"""そこが混ざりまくってる理由が<br>一番重要なんだけど……<br>それはちょっとわからないかな。"""
sq06_010#0,"""操られていたのだとしても<br>ルーサーの行いは許されないし<br>許すつもりもないよ。"""
sq06_020#0,"""まーもっとも、あいつ自身も<br>許してもらおうなんてこれっぽっちも<br>考えてないだろうけどさ。"""
sq08_010#0,"""今までの事例とは、状況が異なるよ。<br>オメガの中から、外部世界への<br>干渉が行われたってことだからね。"""
sq08_020#0,"""並大抵の力じゃそんなの不可能。<br>わたしが向こうにいたとしても<br>出来るかどうかは微妙かな。"""
sq08_030#0,"""つまり、それだけの力を持つ存在が<br>向こうにはまだいるってこと。<br>……本当に、気を付けてね。"""
sq09_010#0,"""無事に戻ってきたってことは<br>原理としてはわたしのやってることと<br>同じなのかもしれないね。"""
sq09_020#0,"""目の前にあるものを送るのと<br>遠くのものを呼び寄せるのじゃ<br>勝手は全然違うけどさ。"""
sq09_030#0,"""召喚の技術が進歩してる世界なら<br>ありえない話じゃない。<br>他の子達も、きっとオメガだね。"""
sq10_010#0,"""失踪者たちは戻ってこられたけど<br>ブラックホールはなくならない。<br>つまり、まだ問題は残ってる。"""
11_voice_NPC_5430_105#1,"""消去法で考えると、あとは<br>【双子】って事になるけど……<br>未然に止められないものかなあ。"""
