11_voice_NPC_5050_101#0,"""ขอบคุณสำหรับรายงาน ไหนขอดูซิ...อืม ท่านทำได้"""
text02#0,"""ข้าจะเพิ่มระดับความยากให้ท่าน <%me>"""
text03#0,"""และข้าขอแนะนำว่า การเพิ่มระดับความยาก<br>จะทำให้การต่อสู้ของท่านยากขึ้นมาก"""
text04#0,"""แม้แต่คู่ต่อสู้ที่ท่านเคยสู้ง่ายมาก่อนก็จะ<br>ยากขึ้นและจะให้ความสนใจท่านมากขึ้น"""
text05#0,"""อย่าประมาทที่นี่"""
text100#0,"""Client Order"""
text101#0,"""Franca ได้ออก Client Order<br><br>Franca อยู่ที่ Shopping Plaza ทางตะวันออก ในบริเวณร้านค้า"""
text102#0,"""Girard ได้ออก Client Order <br><br>Girard อยู่ที่ Shopping Plaza ทางตะวันตก ในบริเวณร้านค้า"""
text103#0,"""Cressida ได้ออก Client Order <br><br>Cressida อยู่ทางทิศตะวันออกของทางเดินวงกลม ในบริเวณร้านค้า"""
11_voice_NPC_5050_101#1,"""報告、承りました。<br>結果としても問題なし、十分です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>上位難易度制限を解除します。"""
text03#1,"""……さて、ここからは私の言葉です。<br>無事、制限の解放はなされましたが<br>ここからの戦いは苛烈を極めます。"""
text04#1,"""今まであしらえていた数々の敵も<br>それぞれが強力になって、貴方に<br>襲いかかってくるでしょう。"""
text05#1,"""どうか、無理だけはしないように。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""フランカにクライアントオーダーが発生しました。<br><br>フランカはショップエリア・東ショップ広場にいます。"""
text102#1,"""ジラードにクライアントオーダーが発生しました。<br><br>ジラードはショップエリア・西ショップ広場にいます。"""
text103#1,"""クレシダにクライアントオーダーが発生しました。<br><br>クレシダはショップエリア・東外周通路にいます。"""
