11_voice_NPC_5050_101#0,"""โอเค ข้าได้รายงานท่านแล้ว <br>ท่านผ่านทุกเงื่อนไขการทดสอบ"""
text02#0,"""ข้าอนุญาติให้ท่าน <%me><br>เลือกคลาส Gunner"""
text03#0,"""แต่ขอข้าแนะนำหน่อย<br>คลาสใหม่จะเป็นทางเลือกให้กับท่านในการต่อสู้"""
text04#0,"""แต่ไม่ได้หมายความว่าท่านจะแข็งแกร่งขึ้น"""
text05#0,"""แต่อย่าลืมดูเรื่องความปลอดภัยด้วยล่ะ <br>เราไม่อยากเสียท่านไป"""
text100#0,"""Gunners"""
text101#0,"""Gunners คืออาชีพที่ชำนาญการต่อสู้ระยะประชิดโดยใช้ปืนขนาดเล็ก<br>พวกเขาเอาชนะศัตรูได้ด้วยการเคลื่อนไหวอย่างชำนาญและยิงปืนได้รวดเร็ว"""
text102#0,"""พวกเขาสามารถหลบไปยิงต่อเนื่องไปได้"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>ガンナークラス使用を許可します。"""
text03#1,"""……さて、ここからは私の言葉。<br>新たなクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『ガンナー』について"""
text101#1,"""ガンナーについて説明します。<br><br>ガンナーは射撃武器を用いた近接戦闘に特化したクラスです。<br>連射性能に優れた武器と高い機動力で相手を翻弄します。"""
text102#1,"""回避アクション中にも攻撃が可能で<br>常に攻撃しながら移動することができます。"""
