11_voice_NPC_5019_104#0,"""Wands คืออาวุธพื้นฐานสำหรับ Techers<br>จงเลือก Wand ถ้าท่านไม่แน่ใจว่าจะใช้อะไร"""
text02#0,"""มันจะคล้ายกับ Rod พวกมันจะสนับสนุนการใช้<br>Photon magic แต่ยังสามารถใช้เป็นอาวุธประชิดได้อีกด้วย"""
text03#0,"""Wand เป็นอาวุธที่เบาและใช้งานง่าย<br>เนื่องจากมันมีขนาดเล็ก ทำให้สามารถสู้ในระยะใกล้ได้ดี"""
text04#0,"""ท่านสนใจใช้ Wand หรือยัง? <br>ถ้าสนใจ ข้าจะให้อันนี้เจ้าไปลองดู<br>ข้าเคยใช้มันเมื่อนานมาแล้ว"""
text05#0,"""มีคู่มือการใช้ Wand อยู่มากมาย <br>แต่วิธีเรียนรู้ที่ดีที่สุดคือนำออกไปใช้งานจริง<br>จงไปลองดู"""
text100#0,"""Wands"""
text101#0,"""Wands คืออาวุธของ Photon magic weapons โดยจะมีพลัง Melee ค่อนข้างสูง"""
text102#0,"""ลองดูที่การโจมตีพื้นฐานของ Wand และการโจมตีด้วย<br>photon magic<br><br>Wands สามารถใช้ต่อสู้ในระยะประชิดและมันสามารถ<br>ยิง Photon magics ได้เร็วกว่าอาวุธ Photon magic ชนิดอื่น"""
11_voice_NPC_5019_104#1,"""……テクターの基本は、ウォンド。<br>迷ったらこれを持っておくといい。"""
text02#1,"""……基本的には、ロッドに近い。<br>テクニックの出力を後押しするし<br>打撃武器としても使用可能。"""
text03#1,"""……小さい分、より一層接近戦に<br>向けたつくりになっている、ぐらい。<br>軽くて扱いやすい武装よ。"""
text04#1,"""……ウォンドに興味出てきた？<br>なら、これを渡しておく。<br>私のお下がりで申し訳ないけど。"""
text05#1,"""……座学よりも、実践したほうが<br>感覚を掴むのも早いと思う。<br>少し、練習してきたらどうかしら。"""
text100#1,"""『ウォンド』について"""
text101#1,"""武器「ウォンド」について、説明します。<br><br>ウォンドは、通常攻撃が強い法撃武器です。"""
text102#1,"""ウォンド系の基本攻撃と<br>テクニックの動きを確認してみましょう。<br><br>他の法撃武器と比べてテクニックの発動が早く、<br>近接攻撃も強いのが特徴です。"""
