text01#0,"""เฮ้ พาร์ทเนอร์ ขอบคุณมาก<br>รายงานของท่านก็ยอดไปเลย"""
text02#0,"""ดูจากสิ่งที่เกิดขึ้น <br>ข้าไม่คิดว่า D-arker จะมีโอกาส<br>ปรากฏตัวอีกครั้ง"""
text03#0,"""แม้ท่านจะไม่สามารถบอกได้ว่า<br>พวกมันโผล่มาหาเราได้อย่างไร<br>ในคราวก่อน"""
text04#0,"""อย่างไรก็ดี ขอบคุณมาก! <br>ข้ารู้สึกดีขึ้นและพร้อมจะไปแล้ว<br>เอ้า นี่รางวัลของท่าน.."""
11_voice_NPC_5003_101#0,"""นี่ไง รับ Partner card ของข้าไป! <br>ถ้าเทียบกับอันอื่นมันอาจจะดูอ่อนแอ<br>แต่บอกข้าล่ะกันถ้าต้องการอะไร!"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Afin มาเป็นพาร์ทเนอร์ได้แล้ว"""
text06#0,"""Partner Characters"""
text07#0,"""ท่านสามารถผจญภัยกับ Partner character ได้ เมื่อท่านผ่านเงื่อนไขที่เหมาะสม<br>สามารถเรียกพวกเขาออกมาได้โดย Terminal ที่ Gateship<br><br><yellow>หมายถึง: ถ้า Partner character ได้ถูกเรียกออกมาแล้วในห้องเดิม <br>ท่านจะไม่สามารถเชิญออกมาได้อีกครั้ง<c>"""
linewindow002#0,"""เจ้าหน้าที่ ARKS ได้ออก Client Order"""
linewindow003#0,"""คุณสามารถรับคำขอทุกวัน"""
text08#0,"""เกี่ยวกับ Daily Order"""
text09#0,"""Marlu ได้ออก Client Order<br><br>ท่านสามารถพบเธอได้บริเวณ Gate ใน Hall กลาง"""
text10#0,"""Oza ได้ออก Client Order<br>ท่านสามารถพบเขาได้บริเวณ Gate ใน Hall กลาง"""
text11#0,"""Risa ได้ออก Client Order<br><br>ท่านสามารถพบเธอได้บริเวณ Gate ใน Hall กลาง"""
text12#0,"""Jan ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้บริเวณทิศใต้ของทางเดินวงกลมในบริเวณร้านค้า"""
text13#0,"""Hans ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ด้านหน้าของ West Quest Counter บริเวณ Gate"""
text14#0,"""Emeline ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ที่รูปปั้นที่พลาซ่าบริเวณร้านค้า"""
text15#0,"""Lola ได้ออก Client Order<br><br>ท่านสามารถพบเธอได้ใน Medical Center ในพื้นที่ Gate..."""
text16#0,"""ปรากฏ Daily Order จาก Fina<br><br>Fina อยู่ที่ GateArea - West QuestCounter"""
text01#1,"""お、相棒、わざわざありがとな！<br>報告もちゃんと見せてもらったぜ！"""
text02#1,"""今んところ、この前ほどの<br>ダーカー発生の傾向とかは<br>なさそうな感じだな。"""
text03#1,"""……まあ、不意に大発生して<br>大変なことにってのが前回だから<br>これだけじゃ何とも言えねえか。"""
text04#1,"""ありがとな、相棒！\u3000なんかちょっと<br>気が楽になった感じがするよ。<br>それじゃ、報酬は、っと……"""
11_voice_NPC_5003_101#1,"""……そうだ、おれのパートナーカード<br>受け取ってくれよ！\u3000お礼にしては<br>ちゃちいけど、いつでも呼んでくれよ！"""
linewindow001#1,"""<br>アフィンをパートナーとして呼べるようになりました。<br>"""
text06#1,"""『パートナーキャラクター』について"""
text07#1,"""特定の条件を達成すると<br>パートナーキャラクターと一緒に冒険することができます。<br><br>パートナーキャラクターはキャンプシップにある端末から<br>呼び出すことができます。<br><br><yellow>ただし、そのルームの中で既に呼ばれている<br>パートナーキャラクターは呼び出すことができません。<br>ご注意ください。<c>"""
linewindow002#1,"""<br>アークスの仲間たちにクライアントオーダーが発生しました。<br>"""
linewindow003#1,"""<br>デイリーオーダーが受注出来るようになりました。<br>"""
text08#1,"""『デイリーオーダー』について"""
text09#1,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
text10#1,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
text11#1,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
text12#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
text13#1,"""ハンスにクライアントオーダーが発生しました。<br><br>ハンスはゲートエリア・西クエストカウンター前にいます。"""
text14#1,"""エメラインにクライアントオーダーが発生しました。<br><br>エメラインはショップエリア・モニュメント広場にいます。"""
text15#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
text16#1,"""ファイナにデイリーオーダーが発生しました。<br><br>ファイナはゲートエリア・西クエストカウンターにいます。"""
