name01#0,"""Marlu"""
name01#1,"""マールー"""
text01#0,"""โอเค นี่น่าจะใช้ได้<br>ข้าเห็นหมดแล้วว่าเจ้าสามารถทำอะไรได้บ้าง"""
11_voice_NPC_5019_101#0,"""พูดตามตรง ข้าไม่คิดว่าเจ้าจะเป็น Wizard ที่เก่งขนาดนี้<br>เหนือความคาดหมายจริงๆ"""
text03#0,"""มันเยี่ยมไปเลยที่จะมี Wizard อีกคนที่สามารถไว้วางใจได้"""
text04#0,"""ไปเถอะ เมื่อกลับมาอย่าลืมทำรายงานด้วยนะ"""
text05#0,"""อย่าลืม"""
text01#1,"""……うん、これで完了。<br>貴方の力、十分に見せてもらった。"""
11_voice_NPC_5019_101#1,"""……正直、ここまでのフォースに<br>なるなんて、予想外かも。<br>想像以上の成長。"""
text03#1,"""……心強いフォースの仲間が<br>増えるのは、嬉しいことだと思う。"""
text04#1,"""……それじゃ、一度戻りましょう。<br>帰還したら、私の所まで<br>報告に来てほしい。"""
text05#1,"""……よろしく。"""
