name01#0,"""Risa"""
name01#1,"""リサ"""
text01#0,"""โอเค โอเคมาเริ่มฆ่ากันเลย"""
text02#0,"""โอ..ข้าชอบดูพวกมันเต้นตามจังหวะการยิงปืนของข้า <br>ได้เวลาเริ่มลุยเป็นปาร์ตี้แล้ว!"""
text03#0,"""โปรดระวังจังหวะการยิงของข้าด้วย<br>มันคงจะไม่ดีหากข้าเผลอฆ่าเจ้าไปด้วยคน"""
text04#0,"""ฮาฮา!"""
11_voice_NPC_5026_100#0,"""อีกแล้ว ใครจะรู้? มันคงไม่น่าอายหรอกนะ ฮาฮาฮาฮา!"""
text01#1,"""ではではあ<br>やっちゃいましょうかあ？"""
text02#1,"""有象無象の敵さんを舞い踊らせる<br>パーティの始まり始まり、ですねえ。<br>ふふっ、ふふふっ……"""
text03#1,"""死なないように注意してくださいねえ。<br>あと、リサの邪魔にならないように<br>もーっと注意してくださいねえ。"""
text04#1,"""さもないと、敵さんと間違えて<br>撃っちゃうかもしれませんからねえ。"""
11_voice_NPC_5026_100#1,"""まあ、間違えないでも<br>撃つかもしれませんけどねえ。<br>ふふふふっ……"""
