text01#0,"""如何？覺得愉快嗎～？<br>莉莎啊，現在感到非常滿足哦～。<br>真的是超痛快的。"""
11_voice_NPC_5026_101#0,"""幾乎快要出現錯覺，<br>覺得這樣其實還不賴了呢......<br>呵呵呵、呵呵呵呵......"""
text03#0,"""哎呀哎呀哎呀呀，不好意思呢～。<br>莉莎我也真是的，怎麼會<br>脫口說出這麼奇怪的事情呢～？"""
text04#0,"""對莉莎來說，最大的樂趣<br>就是對敵人攻擊攻擊再攻擊<br>這個錯覺真是誤會大了呢～。"""
text05#0,"""那麼，我們以後也要經常一起<br>攻擊撂倒打爆殲滅敵人<br>用各種方法把牠們殺光光吧～。"""
text01#1,"""どうです、楽しかったですかあ？<br>リサはね、大満足なんですよお。<br>とーっても気持ちよかったです。"""
11_voice_NPC_5026_101#1,"""こういうのも悪くないって<br>勘違いしちゃいそうですねえ……<br>ふふふっ、ふふふふっ……"""
text03#1,"""あらあらあらら、すみませんねえ。<br>リサとしたことが、ヘンなことを<br>口走ってしまいましたよお。"""
text04#1,"""リサたちにとっての一番の愉悦は<br>敵さんを撃って撃って撃って撃つこと<br>なのに、とんだ勘違いですねえ。"""
text05#1,"""それでは、今後も度々いっしょに<br>敵さんを撃って倒して潰して消してと<br>多岐に渡って殺しましょうねえ。"""
