name01#0,"""帕緹"""
name02#0,"""提雅"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""辛苦啦！<br>哎呀～真不愧是我看中<br>的人，太完美啦！"""
text02#0,"""完美無缺的報告內容......<br>看過這個以後，就知道帕緹寫的報告<br>有多麼隨便......"""
text03#0,"""這樣你也是帕緹與提雅的一分子了！<br>也就是說，你是隱藏角色喲！"""
text04#0,"""......我比較想把帕緹隱藏起來。<br>應該說，好想永遠藏起來。<br>然後我跟你組成帕緹與提雅......"""
11_voice_NPC_5013_107#0,"""不、不行啦提雅！<br>如果變那樣子公會名稱不就<br>很奇怪嗎！"""
11_voice_NPC_5014_100#0,"""......那就更改公會名稱吧。<br>對、就這麼做，這是最佳的判斷。<br>那個，要不要跟我兩個人一起行動？"""
text07#0,"""......眼神是認真的。好！這件事到此為止<br>報酬！\u3000我的夥伴卡！<br>提雅的也一起送給你！"""
text08#0,"""今後就一起收集情報吧！<br>那麼，下次見了！"""
text01#1,"""おっつかれさまー！<br>いやー、流石はあたしのお眼鏡に<br>適った人だねー、パーフェクトだよ！"""
text02#1,"""文句なしの報告内容……<br>これを見るといかにパティちゃんのが<br>適当だったか、わかる……"""
text03#1,"""これでアナタもパティエンティア！<br>いわゆるひとつの隠しキャラだね！"""
text04#1,"""……むしろパティちゃんを隠したい。<br>というか、ずっと隠しておきたい。<br>そして私とあなたでパティエンティア…"""
11_voice_NPC_5013_107#1,"""だ、ダメだぞおティア！<br>そもそもそれじゃチーム名から<br>おかしくなっちゃうじゃないかー！"""
11_voice_NPC_5014_100#1,"""……じゃあチーム名変えちゃおう。<br>そうだそうしよう、ベストな判断だ。<br>ねえ、私と二人で活動しない？"""
text07#1,"""……目がマジだ。はいこの話ここまで！<br>報酬っ！\u3000あたしのパートナーカード！<br>ティアのも一緒にプレゼントっ！"""
text08#1,"""これからは一緒に情報収集頑張ろうー！<br>それじゃ、まったねー！"""
