name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_101#0,"""แหม้ สนุกจังเลยนะหาข้อมูลเนี่ย !<br>แถมคราวนี้ไม่ได้ไปกันแค่สองคน<br>แต่มีเธอไปด้วย ! ต้องสนุกเป็นสองเท่าแน่ !"""
text02#0,"""เป้าหมายคราวนี้คือสำรวจความเป็นไปของดาว Wopal<br>ไม่ใช่งานที่ต้องเตรียมพร้อมอะไรมากมายนักหรอกค่ะ"""
11_voice_NPC_5014_104#0,"""แค่ต้องคอยเป็นห่วงเรื่อง Patiจัง<br>จะไปอาละวาดจนเสียเรื่องรึเปล่าเท่านั้น..."""
text04#0,"""ไม่ต้องห่วงหรอกน่า<br>เรื่องนั้นชั้นคอยระวังตัวเองอยู่แล้ว !<br>เอาล่ะ ไปกันเลยดีกว่า !"""
text05#0,"""...คอยระวังตัวเอง... ถึงเจ้าตัวจะเป็นคนพูด<br>แต่ไม่รู้เค้าจะทำได้อย่างที่พูดรึเปล่าน่ะนะ"""
11_voice_NPC_5013_101#1,"""いやー、楽しみだね情報収集！<br>しかも今回は二人じゃなく<br>アナタも一緒！\u3000ますます楽しみ！"""
text02#1,"""目的は、惑星ウォパルの実情を<br>見て触って、調べてくること。<br>そんなに警戒することはないと思います。"""
11_voice_NPC_5014_104#1,"""テンション上がりすぎた<br>パティちゃんの暴走が<br>気がかりですけど……"""
text04#1,"""大丈夫大丈夫。<br>そのへんちゃーんとわきまえてるから！<br>さあさあ、早く行こうよー！"""
text05#1,"""……わきまえる、って言葉の意味<br>わかって言ってるのかな。"""
