pr_064910_0010#0,"""ほうほう。<br>へー、なるほど、なるほど。"""
pr_064910_0020#0,"""何か調べもの？"""
pr_064910_0030#0,"""また覗き見？"""
pr_064910_0040#0,"""あ、<%me>さん。<br>じつは、地球の情報収集をしていたら<br>気になる話題があったんですよ。"""
pr_064910_0050#0,"""<%me>さん！<br>人聞きの悪いこと言わないでください。<br>情報収集ですよ、情報収集！"""
pr_064910_0060#0,"""<%me>さんは<br>この作品って、ご存じですか？"""
pr_064910_0070#0,"""「エヴァンゲリオン」っていう<br>いま、地球で話題沸騰の<br>エンターテイメント作品なんですよ！"""
pr_064910_0080#0,"""もうすぐ、新作が公開されるということで<br>若い世代の人たちを中心に<br>とっても盛り上がってるんです！"""
pr_064910_0090#0,"""どんな作品なんでしょう？<br>私も後学のため、公開されたら<br>地球に観に行きたくて……"""
pr_064910_0100#0,"""シエラさん、ちょっといいか？<br>って、<%me>も<br>一緒か、ちょうどいい。"""
pr_064910_0110#0,"""エンガさん、どうしたんですか？<br>いま、まさに地球の話で<br>盛り上がってたんですよ。"""
pr_064910_0120#0,"""あー、何の話題か気になるところだが<br>まずは、こっちの話を聞いてくれ。"""
pr_064910_0130#0,"""地球に、新たな幻創体が現れてな。<br>すぐにアースガイドで保護したんだ。"""
pr_064910_0140#0,"""保護ってことは、友好的なんですよね？"""
pr_064910_0150#0,"""ああ、アースガイドでも<br>対応マニュアルがあって、混乱なく<br>保護するところまではできたんだが。"""
pr_064910_0160#0,"""ちと、今回は訳アリでな。<br>相談に乗ってもらいたいんだが……"""
pr_064910_0170#0,"""と、申しますと？"""
pr_064910_0180#0,"""あー、そうだな……<br>直接、会ってもらった方が早いかもな。"""
pr_064910_0190#0,"""<%me>。<br>悪いが、地球のアースガイド本部まで<br>来てくれないか？"""
pr_064910_0200#0,"""次のストーリーへ進む"""
pr_064910_0210#0,"""終了する"""
