Title#0,"""Quest Counter"""
TitleCampship#0,"""Quest Terminal"""
HelpNon#0,"""<c f0df60>โปรดรอ<c>"""
HelpTopMenu#0,"""<c f0df60>เลือกเควสจากรายการ Quest หรือจากปาร์ตี้ปัจจุบัน<c>"""
HelpTypeSelect#0,"""<c f0df60>เลือกประเภท Quest<c>"""
HelpQuestSelect#0,"""<c f0df60>เลือก Quest ที่ต้องการ<c>"""
HelpQuestSelect_Vita#0,"""<c f0df60>โปรดเลือก Quest ที่ต้องการ<c><c f0df60>สามารถตรวจสอบรายละเอียดของ Quest Boost ที่กำลังมีผลอยู่ได้ทางปุ่ม<c><%MultiSelect><c>"""
HelpRankSelect#0,"""<c f0df60>เลือกอันดับ Quest<c>"""
HelpPartySelect#0,"""<c f0df60>เลือกปาร์ตี้เพื่อเข้าร่วม<c>"""
HelpRecordSelect#0,"""<c f0df60>ดูบันทึกล่าสุด (บันทึกไอเทมดรอป การต่อสู้กับศัตรูและอื่นๆ) สำหรับ Quest นี้<c>"""
ReceiverPC#0,"""- หลักฐาน \""PC\""  Login """
ReceiverVITA#0,"""- หลักฐาน \""PS Vita\""   Login """
OtherBlock#0,"""บล็อกอื่น"""
BoostRate#0,"""+$(0)%"""
Title#1,"""クエストカウンター"""
TitleCampship#1,"""クエストカウンター端末"""
HelpNon#1,"""<c f0df60>しばらくお待ちください。<c>"""
HelpTopMenu#1,"""<c f0df60>受注したいクエストを、クエスト一覧から選ぶか、参加中のパーティーから選ぶかを選択してください。<c>"""
HelpTypeSelect#1,"""<c f0df60>クエストの種別を選択してください。<c>"""
HelpQuestSelect#1,"""<c f0df60>受注したいクエストを選択してください。<c>"""
HelpQuestSelect_Vita#1,"""<c f0df60>受注したいクエストを選択してください。<c><c ff4f3f>クエストブースト中は<c><%MultiSelect><c><c ff4f3f>ボタンで詳細を確認できます。<c>"""
HelpRankSelect#1,"""<c f0df60>クエストのランクを選択してください。<c>"""
HelpPartySelect#1,"""<c f0df60>参加するパーティーを選択してください。<c>"""
HelpRecordSelect#1,"""<c f0df60>このクエストの直近のレコード（アイテムなどのドロップ記録や、エネミーの出現率記録）を確認できます。<c>"""
ReceiverPC#1,"""・“PC” ログイン証"""
ReceiverVITA#1,"""・“PS Vita” ログイン証"""
OtherBlock#1,"""他のブロック"""
BoostRate#1,"""＋$(0)％"""
TitleNon#0,"""Unknown Error"""
AttentionNon#0,"""เกิด Error ที่ไม่รู้จัก<br><br>[No. 3007]"""
TitleCancelQuest#0,"""-"""
AttentionCancelQuest#0,"""-"""
TitleNon#1,"""不明なエラー"""
AttentionNon#1,"""不明なエラーです。<br><br>[No.3007]"""
TitleCancelQuest#1,"""-"""
AttentionCancelQuest#1,"""-"""
None#0,"""เกิด Error ที่ไม่รู้จัก<br><br>[No. 3000]"""
NotReceptQuestPartyGuest#0,"""ท่านไม่ใช่หัวหน้าปาร์ตี้ มีเพียงหัวหน้าปาร์ตี้เท่านั้นที่รับเควสได้"""
NotReceptQuestAlreadyQuest#0,"""ท่านไม่ใช่หัวหน้าปาร์ตี้ไม่สามารถรับเควสได้<br>เควสกำลังเริ่มแล้ว ท่านควรจะไปที่ Space Gate ในตอนนี้"""
NotFoundQuestSearch#0,"""ไม่พบเควสที่ตรงตามเงื่อนไขที่ท่านต้องการ"""
NotFoundRoomSearch#0,"""ไม่พบห้องที่ตรงตามเงื่อนไขที่ท่านต้องการ"""
NotFoundPartyList#0,"""ไม่พบปาร์ตี้"""
NotFoundQuestType#0,"""ไม่พบเควสที่เลือกได้"""
NotFoundQuestList#0,"""ไม่พบเควสที่เลือกได้"""
NotFoundFreeFieldQuest#0,"""ไม่สามารถใช้งานได้ตอนนี้"""
NotFoundQuestRecord#0,"""ไม่พบบันทึกเควส"""
CantStartQuestNotFoundRoom#0,"""ไม่สามารถเริ่มเควสได้ ไม่พบห้องเป้าหมาย"""
CantStartQuestCapacityOverRoom#0,"""ไม่สามารถเข้าร่วมเควสได้เพราะห้องเต็ม"""
CantStartQuestCapacityOverRoom2#0,"""เมื่อจำนวนคนในห้องมากเกินไป <br>จะไม่สามารถเข้าร่วมได้ ซึ่งจำนวนคนนี้ <br>จะรวมถึงการจำกัดจำนวนผู้เล่นที่เข้าร่วมด้วย <br>แต่ในบางกรณีจำนวนผู้เข้าร่วมก็อาจไม่มีผล<br><br><yellow>*การคำนวณจำนวนคนจะทำทุกๆ 1 นาที <br>ขอให้รอสักพักแล้วลองเข้าใหม่อีกรอบ อาจจะสามาถเข้าได้<c>\"""""
CantStartQuestNewRaidQuest#0,"""สมาชิกในปาร์ตี้จะไม่สามารถล้มศัตรูที่มีเงื่อนไข<br>ต้องเข้าร่วมก่อนถึงจะตีได้หากไม่ได้รับเควส"""
CantStartQuestNotNotFoundParty#0,"""ไม่สามารถเข้าร่วมเควสได้เพราะไม่พบปาร์ตี้ที่เลือก"""
CantStartQuestCapacityOverParty#0,"""ไม่สามารถเข้าร่วมได้เพราะปาร์ตี้เต็ม"""
CantStartQuestDifferencePasswordParty#0,"""ไม่สามารถเข้าร่วมเพราะใส่ Password ผิด"""
CantStartQuestAlreadyFinished#0,"""ไม่สามารถเข้าร่วมได้เพราะปาร์ตี้ผ่านเควสแล้ว"""
CautionNotSoloParty#0,"""ขณะเข้ากลุ่มกับปาร์ตี้ปัจจุบัน จะไม่สามารถเคลื่อนย้ายไปยังบล็อกอื่นได้"""
CantStartQuestDifferenceCondition#0,"""ไม่สามารถเข้าร่วมได้เพราะท่านมีคุณสมบัติไม่ตรงเงื่อนไขของปาร์ตี้"""
CantStartQuestDifferenceConditionLine1#0,"""ไม่สามารถเข้าร่วมได้เพราะเหตุผลต่อไปนี้:<br><br>- $(0)"""
CantStartQuestDifferenceConditionLine2#0,"""ไม่สามารถเข้าร่วมได้เพราะเหตุผลต่อไปนี้:<br><br>- $(0)<br>- $(1)"""
