name01#0,"""？？？"""
name02#0,"""？？？"""
ra_010120_0010#0,"""なんだ、お主か。<br>何か見せようとでもいうのか？<br>わしの情熱を呼び覚ますような？"""
ra_010120_0020#0,"""無駄だ、無駄無駄。<br>冷め切ったわしの情熱は<br>そんじょそこらの武器……では……"""
ra_010120_0030#0,"""破損クラリッサを見せる"""
ra_010120_0040#0,"""なんだ、これは…………！<br>無駄しかないようなフォルムで<br>その実、全てがかみ合っている……"""
ra_010120_0050#0,"""この形状、どうやって作って……<br>いや、それよりもこれだけのものを<br>どうやって錬成したというのだ……！"""
ra_010120_0060#0,"""お、おい……お主、これをどこで！"""
ra_010120_0070#0,"""氷の中……じゃと？<br>そんな……しかしこれは……<br>っ、ええい！\u3000悩むより行動じゃ！"""
ra_010120_0080#0,"""お主、この壊れた武器の一部を<br>貸してはくれまいか？<br>わしなら、修復できるやもしれん。"""
ra_010120_0100#0,"""心配せんでも<br>見返りを要求したりはせん！"""
ra_010120_0110#0,"""むしろ逆じゃ、タダでとも言わん！<br>必要なら、お主のために武器も作ろう！"""
ra_010120_0120#0,"""武器の一部、それも破損状態……<br>だのに、これほどの魅力をかもしだす<br>その真の姿……見てみたい！"""
ra_010120_0130#0,"""わしの中でくすぶり<br>消えかかっていた情熱が<br>再び燃え上がってきたのだ！"""
ra_010120_0140#0,"""ふふ……ふふふ！<br>楽しみだ、楽しみだぞ！"""
ra_010120_0150#0,"""おまえさんの真の姿は<br>一体どんなものなのか！<br>わくわくが止まらぬ！"""
ra_010120_0160#0,"""A.P.238/3/2"""
