ra_010530_0010#0,"""啊～！可惡！<br>又被他逃走了啦！"""
ra_010530_0020#0,"""老、老師！老師！<br>請您別遷怒於我好嗎？"""
ra_010530_0030#0,"""我也無可奈何啊。<br>一見面就叫他當實驗品<br>這種要求未免太為難人家了吧"""
ra_010530_0040#0,"""現在不是講這種悠哉的話<br>的場合吧......"""
ra_010530_0050#0,"""......嗯，是啊。<br><%me>。"""
ra_010530_0060#0,"""哎呀呀，我很努力想請龍族幫忙<br>但是都得不到正面的回應呢。"""
ra_010530_0070#0,"""像剛剛那樣被視若無睹，還算是運氣好呢......<br>他們有時會猛然發動攻擊<br>難免會有這種情況。"""
ra_010530_0080#0,"""拜託您別再這樣了啦！老師！<br>這樣下去，有幾條命都不夠用啊！"""
ra_010530_0090#0,"""可是，放著不管的話<br>這顆行星上的生命，全部都會被他們給吃掉哦。"""
ra_010530_0100#0,"""龍族可能已經遭到達卡的侵蝕了。<br>一般的疾病根本無法相提並論哦。<br>這可是會把整顆行星的生命都侵蝕掉的。"""
ra_010530_0110#0,"""可是他們的習性太過封閉<br>認為那是只限於外太空的事情<br>對我的話充耳不聞。"""
ra_010530_0120#0,"""我只盼能夠在事態惡化到無法挽回之前<br>跟龍族之長......「洛」族見個面<br>並取得他們的協助，否則......"""
ra_010530_0130#0,"""......不好意思，我只顧著發牢騷。<br>等我獲得更新的情報之後<br>再跟你聯絡吧。再會啦。"""
ra_010530_0140#0,"""告辭了！"""
ra_010530_0150#0,"""A.P.238/3/21"""
ra_010530_0010#1,"""ああ、くそっ！<br>また逃げられたではないか！"""
ra_010530_0020#1,"""せ、先生、先生っ。<br>僕に八つ当たりしないでください。"""
ra_010530_0030#1,"""仕方がないですよ。<br>いきなり被検体になれ、は<br>お願いとして無理がありますって……"""
ra_010530_0040#1,"""そんな悠長なことを言っていられる<br>時期ではないというのに……"""
ra_010530_0050#1,"""……ん、ああ。<br><%me>くん。"""
ra_010530_0060#1,"""いや、龍族に協力を求めているんだが<br>なかなか応じてくれなくてね。"""
ra_010530_0070#1,"""今みたいな無視はまだマシです……<br>いきなり襲いかかってくることも<br>あるんですから。"""
ra_010530_0080#1,"""もうやめましょうよ先生。<br>命がいくつあっても足りないですよ。"""
ra_010530_0090#1,"""だが、放っておけば<br>この惑星の命全てが喰われるのだよ。"""
ra_010530_0100#1,"""ダーカーの侵食は、龍族が考えている<br>病などとは、わけが違うぞ。<br>惑星全体に広がり、命を蝕むものだ。"""
ra_010530_0110#1,"""だが、閉鎖的な彼らは<br>それは外宇宙のことだと<br>聞く耳を持たない。"""
ra_010530_0120#1,"""取り返しのつかないことになる前に<br>なんとか龍族の長……ロの一族に出会い<br>協力を取り付けなければ……"""
ra_010530_0130#1,"""……すまない、愚痴になったな。<br>何か新しい情報が手に入ったら<br>改めてキミにも連絡しよう。ではな。"""
ra_010530_0140#1,"""失礼します！"""
ra_010530_0150#1,"""A.P.238/3/21"""
