name01#0,"""???"""
name02#0,"""???"""
name01#1,"""？？？"""
name02#1,"""？？？"""
ra_025170_0001#0,"""A.P. 228/8/7 9:00"""
ra_025170_0010#0,"""......<%me>? <br>What brings you here?<br>This isn't a place normal people can get to?"""
ra_025170_0020#0,"""......well, that's stating the obvious to<br>you now isn't it. Neither of us are <br>normal, really."""
ra_025170_0030#0,"""I'm here because this little one asked me to."""
ra_025170_0035#0,"""Apparently there's a photoner's ruin somewhere <br>around here. I'm here to investigate, or utilize......"""
ra_025170_0090#0,"""......who is this little one?<br>Well, I've got no idea. <br>It's something I don't need to know. """
ra_025170_0100#0,"""......this one's orders are always correct,<br>and it's saved me countless times.<br>So I don't need to know. """
ra_025170_0110#0,"""I've never struggled because of it, <br>so I don't need to know the rest.<br>It's not necessary. """
ra_025170_0120#0,"""......me until now would have said so. <br>But I'm different now. """
ra_025170_0130#0,"""I always thought I don't need anyone to <br>talk to, and I'd be okay on my own. """
ra_025170_0140#0,"""But ever since I met you, <%me>, <br>I realized that's not true. """
ra_025170_0150#0,"""......I was probably refusing to find out. """
ra_025170_0160#0,"""About ARKS, this little one, even myself......"""
ra_025170_0170#0,"""So, when it's all over, I want to do some studying."""
ra_025170_0180#0,"""To read, talk, see, walk, and find out how<br>much I don't know."""
ra_025170_0190#0,"""Yes yes, what now?"""
ra_025170_0200#0,"""......what?<br>The ARKS ship......?"""
ra_025170_0210#0,"""Sorry <%me>......I've got to go. """
ra_025170_0001#1,"""A.P.228/8/7 9:00"""
ra_025170_0010#1,"""……<%me>？<br>どうしてこんなところに？<br>ここも普通は来られない場所だよ？"""
ra_025170_0020#1,"""……って、あなたには<br>いまさらな指摘だったかな。<br>お互いに、まっとうじゃないんだね。"""
ra_025170_0030#1,"""わたしはね、この子のお願いで<br>ここまで来てるんだ。"""
ra_025170_0035#1,"""なんでも、ここにはフォトナーの<br>遺跡があるんだって。<br>その調査というか、利用というか……"""
ra_025170_0090#1,"""……この子が何なのか？<br>さあ？　わたしも知らない。<br>それは、知らなくていいことだから。"""
ra_025170_0100#1,"""この子の命令はいつも正しくて<br>わたしはいつもそれで助かってきた。<br>だから、別に知らなくてもいい。"""
ra_025170_0110#1,"""それで困ったことがないから<br>他のことは、知らなくていいこと。<br>必要のないこと。"""
ra_025170_0120#1,"""……って、いままでの<br>わたしなら言ってたと思う。<br>でも、今は違うんだ。"""
ra_025170_0130#1,"""わたしはずっと<br>話し相手なんて必要ない<br>ずっと一人で大丈夫って、思ってた。"""
ra_025170_0140#1,"""でも<%me>と<br>出会って、話すようになってから<br>そうじゃないって、わかったんだ。"""
ra_025170_0150#1,"""……わたしはきっと<br>知ろうとしていなかっただけ。"""
ra_025170_0160#1,"""アークスのことも、この子のことも<br>わたし自身のことも……"""
ra_025170_0170#1,"""だから、全部終わったら<br>まずはいろいろ勉強してみたい、かな。"""
ra_025170_0180#1,"""読んで、話して、見て、歩いて<br>わたしが、どれだけのことを<br>知らないのか、知りたい。"""
ra_025170_0190#1,"""はいはい、今度は何？"""
ra_025170_0200#1,"""……え？<br>アークスシップに……？"""
ra_025170_0210#1,"""ごめん<%me><br>……わたし、急がなくちゃ。"""
