TitleMenu#0,"""Events / Chronicles"""
StoryEvent#0,"""Story Events"""
CharacterEvent#0,"""Character Events"""
MessagePack#0,"""Intel Pods"""
TitleDetail#0,"""สรุป"""
Place#0,"""สถานที่"""
Date#0,"""วัน"""
TitleMenu#1,"""イベント・クロニクル"""
StoryEvent#1,"""ストーリーイベント"""
CharacterEvent#1,"""キャラクターイベント"""
MessagePack#1,"""メッセージパック"""
TitleDetail#1,"""あらすじ"""
Place#1,"""場所"""
Date#1,"""時間"""
Chapter1#0,"""Prologue: Waiting For Today"""
Chapter2#0,"""Chapter 1: Waiting For Tomorrow"""
Chapter3#0,"""Chapter 2: Naberian Mysteries"""
Chapter4#0,"""Chapter 3: Across Sandy Waves"""
Chapter5#0,"""Chapter 4: The Dragorii Disease"""
Chapter6#0,"""Chapter 5: Beneath the Sands"""
Chapter7#0,"""Chapter 6: The Dragorii Keepsake"""
Chapter8#0,"""Chapter 7: D-arker Onslaught"""
Chapter9#0,"""Chapter 8: The Beginning of the End"""
Chapter1#1,"""序章 ずっとこの日を待っていた"""
Chapter2#1,"""第１章 ずっと明日を待っていた"""
Chapter3#1,"""第２章 不思議なナベリウス"""
Chapter4#1,"""第３章 砂塵の奥"""
Chapter5#1,"""第４章 龍の病"""
Chapter6#1,"""第５章 砂に隠されたもの"""
Chapter7#1,"""第６章 龍に託されたもの"""
Chapter8#1,"""第７章 ダーカー強襲"""
Chapter9#1,"""第８章 終わりの始まり"""
AP_238_02_20#0,"""A.P.238/02/20"""
AP_238_02_27#0,"""A.P.238/02/27"""
AP_238_02_28#0,"""A.P.238/02/28"""
AP_238_03_01#0,"""A.P.238/03/01"""
AP_238_03_02#0,"""A.P.238/03/02"""
AP_238_03_03#0,"""A.P.238/03/03"""
AP_238_03_12#0,"""A.P.238/03/12"""
AP_238_03_19#0,"""A.P.238/03/19"""
AP_238_03_21#0,"""A.P.238/03/21"""
AP_238_03_24#0,"""A.P.238/03/24"""
AP_238_03_25#0,"""A.P.238/03/25"""
AP_238_03_28#0,"""A.P.238/03/28"""
AP_238_03_31#0,"""A.P.238/03/31"""
AP_238_04_01#0,"""A.P.238/04/01"""
AP_238_02_20#1,"""A.P.238/02/20"""
AP_238_02_27#1,"""A.P.238/02/27"""
AP_238_02_28#1,"""A.P.238/02/28"""
AP_238_03_01#1,"""A.P.238/03/01"""
AP_238_03_02#1,"""A.P.238/03/02"""
AP_238_03_03#1,"""A.P.238/03/03"""
AP_238_03_12#1,"""A.P.238/03/12"""
AP_238_03_19#1,"""A.P.238/03/19"""
AP_238_03_21#1,"""A.P.238/03/21"""
AP_238_03_24#1,"""A.P.238/03/24"""
AP_238_03_25#1,"""A.P.238/03/25"""
AP_238_03_28#1,"""A.P.238/03/28"""
AP_238_03_31#1,"""A.P.238/03/31"""
AP_238_04_01#1,"""A.P.238/04/01"""
PlaceShip#0,"""The ARKS Ship"""
PlaceForest#0,"""The Greenscape"""
PlaceCave#0,"""The Cauldron"""
PlaceFrozen#0,"""The White Summit"""
PlaceDesert#0,"""The Lost Sea"""
PlaceUnderground#0,"""The Underworks"""
PlaceDragon#0,"""The Dragonlands"""
PlaceUrban#0,"""The Residential Area"""
PlaceRuins#0,"""The Ruins"""
PlaceShip#1,"""アークスシップ"""
PlaceForest#1,"""森林"""
PlaceCave#1,"""地底火山"""
PlaceFrozen#1,"""凍土"""
PlaceDesert#1,"""廃墟砂漠"""
PlaceUnderground#1,"""地下坑道"""
PlaceDragon#1,"""竜の国"""
PlaceUrban#1,"""市街地"""
PlaceRuins#1,"""遺跡"""
StoryTitle0-1#0,"""The First Day"""
StoryTitle0-2#0,"""Meeting Afin"""
StoryTitle0-3#0,"""Mastering the Basics"""
StoryTitle0-4#0,"""Skirmish with a Native Lifeform"""
StoryTitle0-5#0,"""A Small Victory"""
StoryTitle0-6#0,"""An Unseen Trigger"""
StoryTitle0-7#0,"""Meeting Zeno"""
StoryTitle0-8#0,"""The Backup's Backup"""
StoryTitle0-9#0,"""A Safe Return, and a Voice"""
StoryTitle0-10#0,"""Back to Civilization"""
StoryTitle0-11#0,"""The Road To Today"""
StoryTitle1-1#0,"""Xion's Request"""
StoryTitle1-2#0,"""Changing Fate"""
StoryTitle1-3#0,"""Changing Events"""
StoryTitle1-4#0,"""Just As You Remember"""
StoryTitle1-5#0,"""Encounter with Matoi"""
StoryTitle1-6#0,"""The Girl Awakens"""
StoryTitle1-7#0,"""Awaiting Tomorrow"""
StoryTitle1-8#0,"""Where the Unsettling Voice Leads"""
StoryTitle1-9#0,"""The Masked Assailant"""
StoryTitle2-1#0,"""An Unpredictable Prediction"""
StoryTitle2-2#0,"""An Explorer at Heart"""
StoryTitle2-3#0,"""Strange D-arker Behavior"""
StoryTitle2-4#0,"""Arriving at the Survey Site"""
StoryTitle2-5#0,"""A Nagging Feeling"""
StoryTitle2-6#0,"""The Shadow Sighted"""
StoryTitle2-7#0,"""A Discovery in the Ice"""
StoryTitle2-8#0,"""Behind the Mask"""
StoryTitle3-1#0,"""Following Figments, Finding Form"""
StoryTitle3-2#0,"""The Tracking Party"""
StoryTitle3-3#0,"""Doing the Paperwork"""
StoryTitle3-4#0,"""Traces"""
StoryTitle3-5#0,"""Not That Easy"""
StoryTitle3-6#0,"""Who is Friend, Who is Foe?"""
StoryTitle3-7#0,"""A Debt Not Forgotten"""
StoryTitle4-1#0,"""Blight's Beacon"""
StoryTitle4-2#0,"""Studying the Dragorii"""
StoryTitle4-3#0,"""The Proud Dragorii"""
StoryTitle4-4#0,"""The Source of the Dragorii Taint"""
StoryTitle4-5#0,"""A Dragorii's Anguish"""
StoryTitle4-6#0,"""Not Seeing Eye to Eye"""
StoryTitle4-7#0,"""The Mad Dragorii"""
StoryTitle4-8#0,"""The Dark Ocean"""
StoryTitle4-9#0,"""The Dragorii Code"""
StoryTitle4-10#0,"""Broken Ice"""
StoryTitle0-1#1,"""はじまりの日"""
StoryTitle0-2#1,"""アフィンとの出会い"""
StoryTitle0-3#1,"""基本操作を確認せよ"""
StoryTitle0-4#1,"""原生生物との戦闘"""
StoryTitle0-5#1,"""原生生物を撃破"""
StoryTitle0-6#1,"""見えない引き金"""
StoryTitle0-7#1,"""ゼノとの出会い"""
StoryTitle0-8#1,"""助けの助け"""
StoryTitle0-9#1,"""無事の帰還、不意の声"""
StoryTitle0-10#1,"""ようやくの安寧"""
StoryTitle0-11#1,"""この日を迎えるため"""
StoryTitle1-1#1,"""シオンからの依頼"""
StoryTitle1-2#1,"""変わる史実"""
StoryTitle1-3#1,"""変える事実"""
StoryTitle1-4#1,"""記憶通りの出来事"""
StoryTitle1-5#1,"""マトイとの邂逅"""
StoryTitle1-6#1,"""目覚めた少女"""
StoryTitle1-7#1,"""明日を待つ"""
StoryTitle1-8#1,"""不穏な声の誘う先には"""
StoryTitle1-9#1,"""仮面の襲撃者"""
StoryTitle2-1#1,"""不測の予測が見せるもの"""
StoryTitle2-2#1,"""純粋な探求者"""
StoryTitle2-3#1,"""アークスを無視するダーカー"""
StoryTitle2-4#1,"""調査場所へ到達"""
StoryTitle2-5#1,"""腑に落ちない任務完了"""
StoryTitle2-6#1,"""佇む人影"""
StoryTitle2-7#1,"""氷中に残されたもの"""
StoryTitle2-8#1,"""仮面の下には"""
StoryTitle3-1#1,"""探すは姿、握るは腕"""
StoryTitle3-2#1,"""一緒に調査！"""
StoryTitle3-3#1,"""探索開始の時間は？"""
StoryTitle3-4#1,"""痕跡はあるけれど"""
StoryTitle3-5#1,"""きみが心を見せるまで"""
StoryTitle3-6#1,"""何が敵で何が味方か"""
StoryTitle3-7#1,"""受けた恩は忘れない"""
StoryTitle4-1#1,"""潜む病毒への標"""
StoryTitle4-2#1,"""龍族の徹底調査を始めよう"""
StoryTitle4-3#1,"""排他的な龍族"""
StoryTitle4-4#1,"""龍族が豹変する原因は……"""
StoryTitle4-5#1,"""龍のくるしみ"""
StoryTitle4-6#1,"""生まれる誤解"""
StoryTitle4-7#1,"""狂乱的な龍族"""
StoryTitle4-8#1,"""塵も積もれば闇"""
StoryTitle4-9#1,"""龍族の掟"""
StoryTitle4-10#1,"""生まれる交流"""
StoryDetail0-1#0,"""ท่านได้รับคำสั่งให้ไปทำภารกิจทดสอบคุณสมบัติ ซึ่งเป็นขั้นตอนสุดท้ายในการจะเป็น ARKS<br>เป้าหมายของท่านคือดาว Naberius ซึ่งเป็นสถานที่ๆมีความอันตรายต่ำ"""
StoryDetail0-2#0,"""หลังจากที่ท่านฟังสรุป มีชายหนุ่มชื่อ Afin เดินมาคุยกับท่าน<br>เขามีลักษณะอบอุ่นและยิ้มอย่างเป็นธรรมชาติ<br>แต่ก็มองออกว่าเขาแอบปิดบังความกังวลอยู่"""
StoryDetail0-3#0,"""ท่านได้รับแบบฝึกหัดสำหรับกลยุทธ์ขั้นพื้นฐาน ซึ่งเป็นส่วนหนึ่งของภารกิจทดสอบของท่าน<br>ผู้ควบคุมภารกิจของท่านคือผู้มีประสบการณ์สูง Hilda<br>การสอนของเธอเข้มงวดและละเอียดมาก"""
StoryDetail0-4#0,"""Naberian สิ่งมีชีวิตพื้นเมืองปรากฏตัวออกมา<br>มันทำท่านประหลาดและเห็นชัดว่าไม่เป็นมิตร"""
StoryDetail0-5#0,"""ท่านรับมือกับสิ่งมีชีวิตพื้นเมือง <br>แต่ Afin บอกว่านี่เป็นเพียงจุดเริ่มต้น<br>ของการต่อสู้อีกมากมายที่กำลังมาถึง<br>ดูเหมือนเขาจะไม่ได้มาที่นี่เพื่อต่อสู้"""
