name_7418#0,"""スローナ"""
ssn_012010_0001#0,"""ようこそセントラルへ。"""
ssn_012010_0002#0,"""ここは、たくさんのアークスたちが住んでいます。<br>もちろん、“星渡り”のヒトたち大勢います。"""
ssn_012010_0003#0,"""施設も色々ありますので、ぜひ見て回ってください。"""
ssn_012010_0101#0,"""ブルーダーさんから、話は聞いています。<br>お待ちしていました。"""
ssn_012010_0102#0,"""私の知っていることを、お話ししますね。"""
ssn_012010_0103#0,"""“リージョンマグ”というものについてなんですが……。<br>ご存じだったりしますか？"""
ssn_012010_0104#0,"""では、説明しますね。"""
ssn_012010_0105#0,"""各地に設置されている、巨大なマグのような形をしたものを、<br>私たちはリージョンマグと呼んでいます。"""
ssn_012010_0106#0,"""リージョンマグに、アイテムなどを投げ込むと、<br>“良いこと”があると言われてるんです。"""
ssn_012010_0107#0,"""見かけたら、貴方もぜひ試してみてください。"""
ssn_012010_0201#0,"""……そうですか。それではまたの機会に。"""
