ssn_014210_0001#0,"""ギャザリングは、楽しんでるか？"""
ssn_014210_0002#0,"""シティの外では、野菜や果物に鉱石、<br>テイムズからは肉、いろいろと見つかるはずだ。"""
ssn_014210_0003#0,"""そうした食材や素材は、戦いの役に立つ。<br>見つけたら、集めておくといいぞ！"""
ssn_014210_0004#0,"""それじゃ、頑張れよ！"""
ssn_014210_0005#0,"""ちなみに、ワールドマップを見れば、<br>鉱石などの入手場所が確認できる。覚えておいてくれ。"""
ssn_014210_0101#0,"""これまで、中央エアリオ、北エアリオ、南エアリオと、<br>鉱石を探してきたな。"""
ssn_014210_0102#0,"""最後に、西エアリオで採れる鉱石について教えよう。"""
ssn_014210_0201#0,"""西エアリオでは、<br>デュアロマイトとトライナイトが採れる。"""
ssn_014210_0202#0,"""このふたつの鉱石については、<br>前にも話したから、覚えているな？"""
ssn_014210_0203#0,"""では、いつものように、<br>探しに行ってみてくれ！"""
ssn_014210_0301#0,"""む、そうか……。<br>それは残念だ。"""
ssn_014210_0302#0,"""鉱石について学びたくなったら、<br>いつでも聞いてくれ。"""
