name_7199#0,"""구이덴"""
ssn_014380_0001#0,"""와 줘서 고맙다."""
ssn_014380_0002#0,"""한 가지, 전투력에 관한<br>조언을 하고 싶군."""
ssn_014380_0003#0,"""솔직히 너 정도의 실력이라면<br>필요 없을지도 모르지만."""
ssn_014380_0004#0,"""초심을 잊지 말라는 이야기다.<br>듣는다고 손해 볼 건 없을 거야."""
ssn_014380_0101#0,"""이것저것 확인해 가면서<br>전투력을 올려 보도록 해."""
ssn_014380_0102#0,"""그럼, 건투를 빈다."""
ssn_014380_0201#0,"""그렇군, 강요할 생각은 없어.<br>조언을 듣고 싶다면 언제든지 오도록."""
ssn_014380_0301#0,"""혹, 힘든 일이 생긴다면<br>내 조언을 떠올려 보도록 해."""
ssn_014380_0302#0,"""그럼, 서로 힘내자고."""
ssn_014380_0401#0,"""너에 대해선 알고 있다.<br>나도 에아리오에서 온 아크스다."""
ssn_014380_0402#0,"""실력이 제법인 모양이군.<br>기대하고 있다."""
