name_7434#0,"""シュフラン"""
ssn_015041_0101#0,"""引き受けてくれるか。<br>ありがとう。"""
ssn_015041_0102#0,"""私は、ライサスとはそれなりに長い付き合いがあってね。<br>彼のことが、ずっと気になっていた。"""
ssn_015041_0103#0,"""……ライサスは、数年前に行方不明になったんだ。"""
ssn_015041_0104#0,"""当時も、イルマ君のときのように<br>捜索隊が組まれてね。"""
ssn_015041_0105#0,"""私も参加したんだが、<br>何日たっても彼を見つけ出せなかった。"""
ssn_015041_0106#0,"""それどころか、<br>捜索隊に怪我人まで出てしまう始末でね……。"""
ssn_015041_0107#0,"""これ以上は危険だと、捜索は打ち切られた。"""
ssn_015041_0108#0,"""なんの手がかりもないまま、ね。"""
ssn_015041_0109#0,"""しかし、彼があの場所でメッセージを残していたなら、<br>ほかにもなにかあるかもしれない。"""
ssn_015041_0110#0,"""すまないが、なにかのついででもいいので、<br>見回ってきてくれないか？"""
ssn_015041_0111#0,"""気になるものを見つけたら、<br>教えてほしい。"""
ssn_015041_0112#0,"""よろしくお願いする。"""
