name_7403#0,"""리디아"""
ssn_015190_002_0001#0,"""에선\""아크스 카드\""についてご説明いたしますね."""
ssn_015190_002_0002#0,"""아크스 카드は、<br>そのかたのプロフィールを記したカードです."""
ssn_015190_002_0003#0,"""カードを見てもらうことで、<br>あなたがどんなヒトなのかを、相手に伝えることができます."""
ssn_015190_002_0004#0,"""もちろん、<br>다른 분의 아크스 카드를見ることもできます."""
ssn_015190_002_0005#0,"""아크스としての活動の目的や、<br>趣味嗜好のあうかたが、きっと見つかるはずです."""
ssn_015190_002_0006#0,"""新しいフレンド作りに、<br>役立てていただければ幸いです."""
ssn_015190_002_0007#0,"""それ에선まずはご自身の아크스 카드를作ってみてください."""
ssn_015190_002_0008#0,"""そのあとは、다른 분의 아크스 카드를 살펴보죠."""
ssn_015190_002_0009#0,"""ぜひ、お試しください."""
ssn_015190_002_0010#0,"""やりかたがわからなくなったときは、<br>もう一度私に声をかけてくださいね."""
