name_7405#0,"""シュラフト"""
ssn_015200_0001#0,"""そこの君、良い目をしているな。<br>戦うアークスの目だ。"""
ssn_015200_0003#0,"""そこのキミ、良い目をしているな。<br>戦うアークスの目だ。"""
ssn_015200_0002#0,"""ぜひ教えたいことがあるんだが、<br>もう少し経験を積む必要がありそうだな。"""
ssn_015200_0101#0,"""やぁ、よく来たな。<br>君が来るのを待っていたよ。"""
ssn_015200_0104#0,"""やぁ、よく来たな。<br>キミが来るのを待っていたよ。"""
ssn_015200_0102#0,"""君にアークスの戦いかたについて教えたいのだが、<br>少し時間をもらえるか？"""
ssn_015200_0105#0,"""キミにアークスの戦いかたについて教えたいのだが、<br>少し時間をもらえるか？"""
ssn_015200_0103#0,"""興味があるなら、話を聞いていってくれ。"""
ssn_015200_0201#0,"""キミに渡した“バトルトリガー”は、<br>エアリオリージョンの“イエローポータル”用だ。"""
ssn_015200_0202#0,"""エアリオのイエローポータルは、西エアリオにある。<br>健闘を祈るぞ！"""
ssn_015200_0301#0,"""いつでも待っているぞ！"""
ssn_015200_0401#0,"""俺の教えたことを忘れないようにな！"""
ssn_015200_0402#0,"""これからも精進してくれ！"""
