name01#0,"""???"""
name02#0,"""???"""
name01#1,"""？？？"""
name02#1,"""？？？"""
st_010730_0010#0,"""Huff... pant... Why are there... so many?"""
st_010730_0020#0,"""Yeah, seriously. There's no end to them!<br>What exactly is going on here, Casra?"""
st_010730_0030#0,"""I know only what I've been told, myself.<br>Are you aware of what took place here<br>on Naberius forty years ago?"""
st_010730_0160#0,"""A battle against the Dark Falz."""
st_010730_0040#0,"""You've done your homework,<br><%me>."""
st_010730_0170#0,"""A massive geological shift."""
st_010730_0050#0,"""True, but that was merely a side effect.<br>A symptom of a larger phenomenon.<br>Still, you're on the right trail."""
st_010730_0060#0,"""Forty years ago, Regius, the first<br>Casra, and the first Clariskrays<br>defeated the Dark Falz here."""
st_010730_0070#0,"""Here?"""
st_010730_0080#0,"""Wait, but the D-arkers only just came<br>to Naberius recently."""
st_010730_0090#0,"""Yes, well. That's not exactly the truth."""
st_010730_0100#0,"""Wait, what?! They've been lying to their<br>own people?"""
st_010730_0110#0,"""Indeed. By painting Naberius as a quiet<br>planet, free of D-arker activity, they kept<br>it out of the spotlight."""
st_010730_0120#0,"""Without a threat to suppress or any notable<br>resources, no one would have any reason<br>to come here."""
st_010730_0130#0,"""I don't get it. Why keep us away? What are<br>they protecting?"""
st_010730_0140#0,"""A pillar of the ARKS organization more<br>important than the likes of me."""
st_010730_0150#0,"""The belief that the Dark Falz can be defeated.<br>A lovely dream, that. So they've kept people<br>far away from Naberius to preserve it."""
st_010730_0180#0,"""A.P.238/4/1/11:00"""
st_010730_0010#1,"""はっ、はあっ……<br>どうしてこんなにダーカーが……"""
st_010730_0020#1,"""まったくだ、きりがねえ。<br>おい、カスラさんよ<br>ここで一体何が起ころうとしてるんだ。"""
st_010730_0030#1,"""私としても伝聞の知識ですが……<br>４０年前に、このナベリウスで<br>何が起こったか、ご存知ですか？"""
st_010730_0160#1,"""ダークファルスとの決戦"""
st_010730_0040#1,"""<%me>さんは<br>お調べになられていたようですね。<br>そう、ダークファルスとの決戦です。"""
st_010730_0170#1,"""大幅な地質変動"""
st_010730_0050#1,"""それは、起こったことの<br>余剰効果。オマケでしかありませんよ。<br>しかし、アプローチとしては正解です。"""
st_010730_0060#1,"""４０年前、この惑星で、初代レギアス<br>初代クラリスクレイス、初代カスラが<br>ダークファルスを撃退したのです。"""
st_010730_0070#1,"""ダークファルス……"""
st_010730_0080#1,"""……どういうことだよ。<br>この惑星にダーカーが出始めたのは<br>つい最近の事だろう？"""
st_010730_0090#1,"""それは、嘘です。"""
st_010730_0100#1,"""そんな……<br>アークスが嘘をついていたというの？"""
st_010730_0110#1,"""ええ、そうですよ。<br>ダーカーの侵略がなく、安全な<br>惑星と偽ることで、注目をそらす。"""
st_010730_0120#1,"""そうすれば、ごくふつうのアークスは<br>この惑星に価値を見出さず<br>近寄ることが少なくなる。"""
st_010730_0130#1,"""……解せねえな、そんなことして<br>何の意味がある。<br>ここに何を隠してるんだ。"""
st_010730_0140#1,"""……アークスを支える虚構が<br>ここには隠されているんですよ。"""
st_010730_0150#1,"""ダークファルスは倒せるもの。<br>そう、アークスに信じ込ませるための<br>決定的な証拠を、隠している。"""
st_010730_0180#1,"""A.P.238/4/1/11:00"""
