st_013051_0001#0,"""A.P.238/4/9/13:00"""
st_013051_0125#0,"""That's enough!<br>The winner is Clariskrays!"""
st_013051_0130#0,"""Hahah, how was that?!<br>Did you see? Do you understand now?<br>This is the power of the Six Pillars!"""
st_013051_0140#0,"""Hmm. Though, I definitely have to give you guys some credit. It's been a LONG time since I've felt this exhilarated!"""
st_013051_0150#0,"""No, since I've felt this great! That was so satisfying. So fun! Alrighty, time to go home. C'mon now, off you go!"""
st_013051_0160#0,"""Oh, by the way you guys.<br>I'll play with you again,<br>so you'd better get stronger!"""
st_013051_0170#0,"""That's too bad!<br>Not that it could be helped!<br>You guys were fighting non-stop!"""
st_013051_0180#0,"""Anyway, good work!<br>Now the entire program is over!<br>You guys are the undisputed winners!"""
st_013051_0190#0,"""I'm sure the mock battle with<br>the Six Pillars was good experience!"""
st_013051_0200#0,"""I expect that the experience will<br>make you guys even harder workers!<br>Well, farewell!"""
st_013051_0001#1,"""A.P.238/4/9/13:00"""
st_013051_0125#1,"""そこまでッ！<br>勝者、クラリスクレイス！"""
st_013051_0130#1,"""ふっふーん、どうだどうだ<br>見たか見たか思い知ったか？<br>これが六芒均衡の力だっ！"""
st_013051_0140#1,"""うむうむ、褒めてつかわすぞ貴様ら。<br>ここまでスカッとしたのは<br>かなーり久しぶりのことだ！"""
st_013051_0150#1,"""いやー、気持ちよかったー。<br>満足した、楽しかったー。<br>よーし帰ろう、すぐに帰ろっと！"""
st_013051_0160#1,"""ではな、貴様ら。<br>また今度遊んでやるから<br>もっと強くなっておけよ！"""
st_013051_0170#1,"""残念だったな！<br>とはいえ仕方がない！<br>君達は連戦だったわけだからな！"""
st_013051_0180#1,"""なにはともあれ、ご苦労！<br>これにてすべてのプログラムが終了！<br>最優秀は文句なしで君達だ！"""
st_013051_0190#1,"""六芒均衡との模擬戦も<br>いい経験になっただろう！"""
st_013051_0200#1,"""これらの経験が、君達のさらなる<br>精進につながることを期待しているぞ！<br>では、さらばだ！"""
