name01#0,"""？？？"""
name02#0,"""？？？"""
name01#1,"""？？？"""
name02#1,"""？？？"""
st_020730_0001#0,"""A.P.238/xx/xx/00:00"""
st_020730_0010#0,"""光子人並非為惡。<br>但他們的所為就整體來看<br>卻引出了不尋常的進化。"""
st_020730_0020#0,"""如果沒有光子人，<br>就不會出現達卡了吧。<br>但是，也就不會誕生Arks。"""
st_020730_0030#0,"""沒錯，光子人很貪婪、<br>好奇心旺盛，有著適度的怠惰與傲慢<br>......作為人而言是很正常的態度。"""
st_020730_0040#0,"""而忘記觀測者的身分<br>教授他們光子的知識，<br>我的行為才是一項錯誤。"""
st_020730_0050#0,"""......可是，這樣太寂寞了。"""
st_020730_0060#0,"""這是我<br>難以理解的情感。"""
st_020730_0070#0,"""不會的。<br>席翁妳也應該知道的。"""
st_020730_0080#0,"""我......我很寂寞。<br>很害怕，很痛苦。<br>好希望有人來救我。"""
st_020730_0090#0,"""就在那時，<br><%me>前來救了我。"""
st_020730_0100#0,"""雖然我什麼都忘了，<br>不聽<%me>的<br>但卻記得名字，還有那時候的喜悅。"""
st_020730_0110#0,"""席翁你也一定是這樣。<br>見到光子人的時候，一定很高興。<br>一個人孤單，很寂寞的......"""
st_020730_0120#0,"""是的。<br>席翁很寂寞呢。"""
st_020730_0130#0,"""......你......難道說是我的有緣人，<br>把我的記憶都......？"""
st_020730_0140#0,"""不，只是這樣感受而已......<br>感受到了席翁的思念。"""
st_020730_0150#0,"""因為寂寞，所以才出聲招呼。<br>這一點都沒有錯。"""
st_020730_0160#0,"""錯的一定是在那之後。<br>席翁妳應該也是這麼想的。"""
st_020730_0170#0,"""所以，為了矯正那份錯誤，<br><%me>與<br>和我遇見，對吧？"""
st_020730_0180#0,"""......啊啊，原來是這樣。<br>打從當初就有的欠缺感。<br>那......就是寂寞啊。"""
st_020730_0190#0,"""......席翁！"""
st_020730_0200#0,"""<%me>！<br>趕快，繼續往裡走！"""
st_020730_0001#1,"""A.P.238/7/7/12:40"""
st_020730_0010#1,"""フォトナーはけして悪ではなかった。<br>彼らの行いは全体から見れば<br>尋常ならざる進化を呼んだ。"""
st_020730_0020#1,"""フォトナーがいなければ<br>ダーカーは産まれなかっただろう。<br>だがアークスも、生まれなかった。"""
st_020730_0030#1,"""そう、フォトナーは欲深く<br>好奇心旺盛で、適度に怠惰で傲慢な<br>……正しい、人のあり方だった。"""
st_020730_0040#1,"""観測者であることをやめ<br>彼らにフォトンの知識を与えた<br>わたしの行いこそ、間違いだったのだ。"""
st_020730_0050#1,"""……でも、それじゃ寂しいよ。"""
st_020730_0060#1,"""それは、わたしには<br>理解しかねる感情だ。"""
st_020730_0070#1,"""そんなことない。<br>シオンさんにだって、わかるはず。"""
st_020730_0080#1,"""わたしは……わたしは寂しかった。<br>怖かったし、辛かった。<br>誰かに助けてほしかった。"""
st_020730_0090#1,"""<%me>が<br>助けに来てくれたのは、その時。"""
st_020730_0100#1,"""わたし、なにもかも忘れてたけど<br><%me>の<br>名前と、その時の嬉しさは覚えてる。"""
st_020730_0110#1,"""シオンさんだって、同じだよ。<br>フォトナーと会えて、嬉しかったんだ。<br>ひとりぼっちは、寂しかったんだ……"""
st_020730_0120#1,"""そう。<br>シオンさんは、寂しかったんだよ。"""
st_020730_0130#1,"""……君は……まさか<br>わたしの縁者として、記憶を……？"""
st_020730_0140#1,"""ううん、そう感じるだけ……<br>シオンさんの思いを、感じるの。"""
st_020730_0150#1,"""寂しかったから、声をかけた。<br>それはなにも間違ってない。"""
st_020730_0160#1,"""間違ったのはきっとそのあと。<br>シオンさんだって、そう思ってる。"""
st_020730_0170#1,"""だから、その間違いを正すため<br><%me>と<br>わたしを会わせてくれたんでしょ？"""
st_020730_0180#1,"""……ああ、そうなのか。<br>最初にあった、欠落感。<br>あれは……寂しさだったのか。"""
st_020730_0190#1,"""……シオンさん！"""
st_020730_0200#1,"""<%me>！<br>はやく、奥に進もう！"""
