st_047100_0001#0,"""A.D.2028/4/23/17:00"""
st_047094_0010#0,"""Hitsugi! Aru! And... Mother!"""
st_047094_0020#0,"""Jeez, you actually did it! My stupid little sister!"""
st_047094_0030#0,"""Big brother!"""
st_047094_0040#0,"""You made it back, Aru! Truly my little brother, good job!"""
st_047094_0050#0,"""Kohri!"""
st_047094_0060#0,"""W-What?! No \""big sis\"" for me? But I'll forgive you, because of this warm hug."""
st_047094_0070#0,"""Welcome back, Aru. I'm glad you've returned safely."""
st_047094_0080#0,"""...Hitsugi Yasaka."""
st_047094_0090#0,"""Hm?"""
st_047094_0100#0,"""Thank you. I..."""
st_047100_0010#0,"""Thank you for your hard work, Mother. This is the end of your role."""
st_047100_0020#0,"""I..."""
st_047100_0030#0,"""Mother!"""
st_047100_0040#0,"""Ardem?! How are you here?!"""
st_047100_0050#0,"""Ophiel..."""
st_047100_0060#0,"""My apologies, Mother. But this is necessary for the evolution of mankind."""
st_047100_0070#0,"""Mother. I am grateful to you. Thanks to the Ether you produced, the Earth is about to move on to its next stage."""
st_047100_0080#0,"""And now, you will be absorbed by me, and become the foundation of a paradigm shift, becoming one with your beloved Earth."""
st_047100_0090#0,"""Won't that be nice, Mother?"""
st_047100_0100#0,"""Mother!"""
st_047100_0110#0,"""Thank you, Ms. Hitsugi. Enga, Kohri too... and <%me>."""
st_047100_0120#0,"""Without your cooperation, I don't think we would have made it through this. Sincerely, thank you."""
st_047100_0130#0,"""Why would you do this?"""
st_047100_0140#0,"""Huh...? To protect the Earth, of course."""
st_047100_0150#0,"""You all were aware that Mother posed a grave threat to Earth, yes?"""
st_047100_0160#0,"""We had no choice but to kill her. I think that's the natural decision for someone devoted to guiding Earth?"""
st_047100_0170#0,"""Even so... Mother was already..."""
st_047100_0180#0,"""Not just that, Ardem. Who is that guy you brought with you? Why are you with him?"""
st_047100_0190#0,"""そう構えてくれるな、八坂炎雅、鷲宮氷莉。<br>私は、マザー・クラスタ、水の使徒であり<br>アースガイド所属でもある、それだけのこと。"""
st_047100_0200#0,"""アースガイドからのスパイってわけか。<br>……にしては、ずいぶんやりたい放題<br>やってくれたじゃねえか。"""
st_047100_0210#0,"""……っ！"""
st_047100_0220#0,"""それが目的の成就のために必要なことだった。<br>ただ、それだけのこと。"""
st_047100_0230#0,"""目的……だと……？"""
st_047100_0240#0,"""……エンガ、君をアースガイドに誘った時<br>僕が言ったことを、覚えているかい？"""
st_047100_0250#0,"""今の地球は、行き詰まっている。"""
st_047100_0260#0,"""そう、新たな革新もなく、進化もなく<br>ただ漫然と消費するだけの世界だ。"""
st_047100_0270#0,"""導かねばならない、地球を。<br>さらなる進化へと……<br>新たなる世界再編へと……"""
st_047100_0280#0,"""……アースガイド。地球を導く者。<br>僕達がそれを成し遂げなければ<br>この星の未来はない。"""
st_047100_0290#0,"""君は選ばれた存在だ、エンガ。<br>君の力を、僕のために貸して欲しい。<br>……僕には、君が必要だ。"""
st_047100_0300#0,"""戦力を得るためのおべんちゃらだと<br>思っていたが……その顔、マジみたいだな。"""
st_047100_0310#0,"""マザーを殺し、その力を得て……<br>その程度で本気で世界を変えられると<br>思ってるのか、アーデム？"""
st_047100_0320#0,"""もちろん、変えられるよ。<br>これまでだって、数千、数万の年月にわたり<br>何度も何度も、変えてきたんだからね。"""
st_047100_0330#0,"""数千数万の年月……<br>何度も、変えてきた……？"""
skit01#0,"""-English Title-"""
skit02#0,"""タイトル"""
