st_054110_0001#0,"""無造作に喚び出されている魔神城。<br>そして組み込まれた、超人の尖兵。"""
st_054110_0003#0,"""飛び交う怨嗟の声にも、しかし挫けず<br>ただひたすらに先を目指す守護輝士達。"""
st_054110_0005#0,"""そうして辿り着いた帝都は<br>道中と異なり、静寂に包まれていた。<br>生者は誰も居ないかのように。"""
st_054110_0007#0,"""そこに在るに相応しいのは<br>皇帝だけと、言わんばかりに。"""
st_054110_0009#0,"""ヴェルン皇帝、シュレッガーはただ一人<br>自らの好敵手の到着を待っていた。"""
st_054110_0010#0,"""……来たか。"""
st_054110_0020#0,"""貴方が……ヴェルン皇帝、ですか？"""
st_054110_0030#0,"""いかにも。<br>俺がヴェルン皇帝、シュレッガー。<br>守護輝士よ、ご足労痛み入る。"""
st_054110_0040#0,"""へっ、ははっ、ははははっ！<br>ようやく会えたなぁ<br>クソ皇帝さんよォ！"""
st_054110_0050#0,"""皆の命のみならず、この国を<br>好き勝手に弄んだその罪……<br>受けてもらう。"""
st_054110_0060#0,"""くっ、ふふふっ……国を弄んだ、か。<br>俺は皇帝、つまりここは俺の国だ。<br>どのようにしようが俺の勝手であろう。"""
st_054110_0070#0,"""異があるならば、俺を討て。<br>そのための力は与えたはずだ。<br>そうだろう？\u3000実験体ども。"""
st_054110_0080#0,"""……望まない改造で得た力に<br>何の意味があるんですか！"""
st_054110_0090#0,"""ふ、力がなければ死ぬだけよ。"""
st_054110_0100#0,"""どれだけ綺麗事を吠えようとも<br>この世は力が正義。弱者は屈するのみ。<br>それがわからぬ年でもあるまい？"""
st_054110_0110#0,"""のう、守護輝士よ。<br>貴様とて、それほどの力を得るまでに<br>多くのものを踏み潰して来たはずだ。"""
st_054110_0120#0,"""畜生を討つも人を討つも、変わらぬ。<br>人道も非道も関係ない。力こそが正義。<br>それが世界で普遍かつ唯一の真理よ。"""
st_054110_0130#0,"""ゆえに、ヴェルンは太古より自らを鍛え<br>自らを強者たりえるように進化した。<br>その極致が、今である。"""
st_054110_0140#0,"""この戦火を世界へと広め……<br>さらなる力を、この手にするのみ。"""
st_054110_0150#0,"""……もはや問答、埒もなし。<br>貴様達の正義によって<br>我が身、砕いてみせよ！"""
st_054110_0160#0,"""ファルス・ヒューナル！？<br>それに、ダーカーまで連れて……！"""
st_054110_0170#0,"""エフィメラの力によるもの……？<br>ううん、それにしても<br>そのまますぎる！"""
st_054110_0180#0,"""やはりエフィメラは<br>【深遠なる闇】の一部……！"""
st_054110_0190#0,"""くくっ、はははっ！<br>いいじゃねえか！<br>ずいぶんとわかりやすくなりやがった！"""
st_054110_0200#0,"""あのバケモノを倒せば、勝ち！<br>喰われりゃ負け、それだけだ！"""
st_054110_0210#0,"""ヴェルン皇帝、シュレッガー。<br>残りの命を燃やし尽くして……<br>貴方を討つ。"""
skit01#0,"""***"""
skit02#0,"""***"""
