st_056160_0010#0,"""怎、怎麼會……我的SORO被……<br>假象朋友被<br>消滅了……！"""
st_056160_0020#0,"""你確實很強……<br>但是，那隻不過是錯誤的強大！"""
st_056160_0030#0,"""錯誤的……！？<br>逃進假象世界的我<br>是錯的……？"""
st_056160_0040#0,"""真正的強大，不是打到誰的強大<br>而且保護誰的強大！"""
st_056160_0050#0,"""一個人戰鬥的你<br>是沒辦法獲得強大的。"""
st_056160_0060#0,"""……雖然不甘心，但是好像就是那樣呢。<br>這次戰鬥的敗北就是答案。<br>我，錯了呢。"""
st_056160_0070#0,"""最後的最後，讓我意識到了。<br>……謝謝，守護輝士。"""
st_056160_0080#0,"""下次被召喚出來的時候……<br>鼓起勇氣搭話的話就會……"""
st_056160_0090#0,"""……就算有被召喚的時候<br>也不會有現在的記憶。<br>真是好可憐……"""
st_056160_0100#0,"""要是留了現在的記憶那才可憐呢。"""
st_056160_0110#0,"""……那個，守護輝士。<br>我有點兒不懂<br>剛才對話的意思。"""
st_056160_0120#0,"""沒關係，不明白也沒事"""
st_056160_0130#0,"""沒關係，不用知道"""
st_056160_0140#0,"""爲ー什麼ー啊！<br>在激鬥的最後和敵人互相理解<br>這不是非常棒的展開麼！"""
st_056160_0150#0,"""瑪露桑只是在動嘴皮子吧<br>哪有戰鬥 ！"""
st_056160_0160#0,"""愛花很可憐……<br>泉澄理奈也……"""
name01#0,"""？？？"""
name02#0,"""？？？"""
