name01#0,"""시에라"""
text01#0,"""그럼, 레스타에 대해<br>설명 드릴게요!"""
text02#0,"""<red>레스타<c>는 광속성 테크닉으로,<br><red>근처 아군들의 HP를<br>회복<c>할 수 있어요."""
text03#0,"""그럼, 레스타로<br>본인과 아핀 씨의 HP를<br>회복시켜 보세요."""
text101#0,"""과제2：<yellow>레스타로 파트너의 HP 회복시키기"""
train_title#0,"""과제2：<yellow>레스타로 파트너의 HP 회복시키기"""
tut_title#0,"""『레스타』에 관하여"""
text100#0,"""・<%PhotonArts>로 체력을 회복시키는 레스타가 발동"""
text100_3b#0,"""・<%PhotonArts>로 체력을 회복시키는 레스타가 발동"""
tut_win_title#0,"""『레스타』에 관하여"""
tut_win_text100#0,"""레스타는<br>범위 내 아군의 HP를 회복시키는<br>광속성 테크닉입니다.<br><br>일정시간 발동한 장소 주변에<br>범위에 들어가면 효과를 받을 수 있습니다.<br><br>전투 시 등에 데미지를 받기 전에<br> 발동해 놓으면 좋을 거에요."""
