name01#0,"""シエラ"""
text01#0,"""ヒーローギアがたまると<br><red>「ヒーロータイム」<c>を<br>発動させることができるんです。"""
text02#0,"""ヒーロータイムは、発動時にＰＰ全回復<br>発動中は、<red>敵にダメージを与えることで<br>攻撃ステータスが上昇<c>していきます。"""
text03#0,"""さらにさらにヒーロータイム中なら<br><red>「ヒーロータイムフィニッシュ」<c>という<br>超強力な攻撃が発動できるんですよ！"""
text04#0,"""ヒーロータイムフィニッシュは<br><red>ヒーロータイム中に、スキルアイコンを<br>もう一度押す<c>ことで発動します。"""
text05#0,"""それでは<br><red>ヒーロータイムフィニッシュ<c>を発動させ<br>敵に当ててみてください！"""
text101#0,"""課題９：<yellow>ヒーロータイムとヒーロータイムフィニッシュを発動させる"""
train_title#0,"""課題９：<yellow>ヒーロータイムとヒーロータイムフィニッシュを発動させる"""
tut_title#0,"""ヒーロータイムフィニッシュについて"""
text100#0,"""サブパレットのスキルアイコンから<br>・ヒーロータイムを発動する<br>・もう一度スキルアイコンを押す<br>・ヒーロータイムフィニッシュを発動する"""
tut_win_title#0,"""『ヒーロータイム』について"""
tut_win_text100#0,"""スキル「ヒーロータイムフィニッシュ」は<br>ヒーロータイム中に再度スキルを発動する事で<br>フィニッシュ技を使用するクラススキルです。<br><br>ヒーロータイム中の攻撃力上昇効果が<br>適用されますがフィニッシュ技を発動した<br>時点でヒーロータイムが終了します。<br>使うタイミングを見極めましょう。<br><br>ヒーローソード<br>ヒーローＴマシンガン<br>ヒーロータリス<br>３種で異なるフィニッシュ技が発動します。"""
