Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)％"""
Param_MaxValue#0,"""（MAX$(0)）"""
Param_MaxValue_Limit#0,"""<bright_orange>（MAX$(0)）<c>"""
Param_MaximumValue#0,"""（最大$(0)）"""
Param_MaximumValue_Limit#0,"""<bright_orange>（最大$(0)）<c>"""
Param_ComparePlus#0,"""<light_orange2>＋$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>－$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""－"""
Label_WavyLine#0,"""～"""
Label_Rarity#0,"""レアリティ"""
Label_AttackPower#0,"""攻撃力"""
Label_Defense#0,"""防御力"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""属性"""
Label_Resist_Damage#0,"""ダメージ耐性"""
Label_Resist_Element#0,"""属性耐性"""
Label_Resist_Fire#0,"""炎耐性"""
Label_Resist_Ice#0,"""氷耐性"""
Label_Resist_Thunder#0,"""雷耐性"""
Label_Resist_Wind#0,"""風耐性"""
Label_Resist_Light#0,"""光耐性"""
Label_Resist_Dark#0,"""闇耐性"""
Label_EquipClass#0,"""装備可能クラス"""
Label_EquipNeed#0,"""装備条件"""
Param_Level_Need#0,"""Lv.$(0)"""
Param_Level_Now#0,"""（現在 Lv.$(0)）"""
Label_Trade#0,"""トレード"""
Label_Trade_OK#0,"""トレード可"""
Label_Trade_NG#0,"""<pict unavailable_t>トレード不可"""
Label_Trade_Ownered#0,"""<pict register_owner>オーナー登録済み"""
Label_Grind#0,"""強化値"""
Label_Element#0,"""特殊能力"""
Label_BonusElement#0,"""特殊能力因子"""
Label_SpecialElement#0,"""S級特殊能力"""
Label_SpecialElement_Supported#0,"""対応タイプ"""
Label_Potential#0,"""潜在能力"""
Label_Potential_1#0,"""潜在能力1"""
Label_Potential_2#0,"""潜在能力2"""
Label_Potential_3#0,"""潜在能力3"""
