YesText#0,"""はい"""
NoText#0,"""いいえ"""
CloseText#0,"""閉じる"""
OpenText#0,"""開く"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""ソート"""
Copy#0,"""コピー"""
Peaste#0,"""貼りつけ"""
NextText#0,"""次へ"""
PrevText#0,"""前へ"""
DecideText#0,"""決定"""
CancelText#0,"""キャンセル"""
OKText#0,"""OK"""
ReturnText#0,"""戻る"""
TitleText#0,"""メッセージ"""
CheckText#0,"""以降、このウィンドウを開かない"""
NoneText#0,"""なし"""
Preview#0,"""プレビュー"""
SimplePreview#0,"""簡易プレビュー"""
Skip#0,"""次に表示される選択肢、または終了まで<br>イベントシーンをスキップします。<br><br>よろしいですか？"""
SkipMovie#0,"""動画再生を終了します。<br><br>よろしいですか？"""
SymbolArt_BANtext#0,"""そのシンボルアートは、現在保存することができません。"""
BlockBurstIntoNG#0,"""参加予定パーティーの状態に変更があるため参加できませんでした。"""
TimeText#0,"""$(0)分$(1)秒$(2)"""
NumItem#0,"""$(0)を$(1)個"""
NumItem2#0,"""$(0)×$(1)"""
Bracket#0,"""（$(0)）"""
SquareBracket#0,"""「$(0)」"""
ErrorResetAmCoinWithoutWarning#0,"""カジノコインの所持枚数が上限を超えているため、移動できませんでした。"""
Ranking#0,"""$(3) $(2) 第$(1)位 $(0)"""
RankingVita#0,"""$(3) $(2) 第$(1)位 $(0) “PS Vita”専用ブロック"""
VolcanoClearTime#0,"""クリア時間：$(0)"""
Contribution#0,"""全セクター獲得迎撃ポイント合計 $(0)<pict Target_CP>"""
SkipNaviKey#0,"""<yellow>【[Esc]キー】<c>でスキップ"""
SkipNaviButton#0,"""<yellow>【<c><%AllWindowClose><yellow>ボタン】<c>でスキップ"""
BoostLevelUp#0,"""クエスト連動ブーストのレベルが$(0)にアップ！<br>ブースト対象クエストで新たな効果が発生！"""
PreviewZoom#0,"""（<c cfcfcf>回転拡大<c> <%Exception> <yellow>平行移動<c>）"""
PreviewZoom_mouse#0,"""（<c cfcfcf>回転拡大<c> <pict mouse_right> <yellow>平行移動<c>）"""
PreviewMove#0,"""（<yellow>回転拡大<c> <%Exception> <c cfcfcf>平行移動<c>）"""
PreviewMove_mouse#0,"""（<yellow>回転拡大<c> <pict mouse_right> <c cfcfcf>平行移動<c>）"""
ErrorMackQuest#0,"""パーティーメンバーがクエスト内に揃っていないため開始できません"""
ErrorIgnoreQuest#0,"""このクエストは現在、受注できません。詳しくはプレイヤーズサイトをご確認ください。"""
BlockType_01#0,"""PSO2ブロック"""
BlockType_02#0,"""PSO2:NGSブロック"""
Hyphen#0,"""-"""
All#0,"""すべて"""
FreeSgScratch#0,"""本日分の無料SGスクラッチを行うことができます。<br>確認を行いますか？"""
BlockMoveFailure#0,"""ブロック移動に失敗しました。"""
BlockadeMsg_Title1#0,"""インフォメーション"""
BlockadeMsg_Text1#0,"""現在、このオブジェクトにはアクセスできません。<br>詳しくはプレイヤーズサイトをご確認ください。"""
SimpleTimeText#0,"""$(0)：$(1)"""
Lupe_TextStart#0,"""拡大鏡モードを開始しました。"""
Lupe_TextEnd#0,"""拡大鏡モードを終了しました。"""
