Accomplished#0,"""達成済"""
InProgress#0,"""攻略中"""
CATEGORY_STORY#0,"""メイン"""
CATEGORY_SUB_STORY#0,"""サイド"""
CATEGORY_DAILY#0,"""デイリー"""
CATEGORY_WEEKLY#0,"""ウィークリー"""
CATEGORY_LIMITED#0,"""期間限定"""
SORT_NORMAL#0,"""標準ソート"""
SORT_ASC_DATE#0,"""日付昇順ソート"""
SORT_DESC_DATE#0,"""日付降順ソート"""
SORT_DESC_NOT_ACCEPT#0,"""未受注タスク優先"""
BUTTON_BACK#0,"""戻る"""
NOT_FOUND_ANY_TASKS#0,"""攻略中のタスクがありません。"""
NOT_FOUND_ANY_TASKS_2#0,"""達成済みのタスクがありません。"""
NOT_FOUND_ANY_TASKS_3#0,"""受注可能なタスクがありません。"""
PLEASE_WAIT#0,"""お待ちください"""
FOCUS_TASK#0,"""ガイド情報に表示する"""
UNFOCUS_TASK#0,"""ガイド情報を表示しない"""
CHECK_TASK_DETAILS#0,"""タスク詳細を確認する"""
ACCEPT_TASK#0,"""タスクを受注する"""
CONFIRM_ACCEPT_TASK_TITLE#0,"""タスク受注の確認"""
CONFIRM_ACCEPT_TASK_MESSAGE#0,"""“$(0)”を<br>受注しますか？"""
DISCARD_TASK#0,"""タスクを破棄する"""
CONFIRM_DISCARD_TASK_TITLE#0,"""タスク破棄の確認"""
CONFIRM_DISCARD_TASK_MESSAGE#0,"""“$(0)”を<br>破棄しますか？<br><br><yellow>※タスク進行状況がリセットされます。<c>"""
CONFIRM_DISCARD_TASK_MESSAGE_LOOP#0,"""“$(0)”を<br>破棄しますか？<br><br><yellow>※ループタスクを破棄した場合、<br>\u3000再受注時は最初のタスクからとなります。<c>"""
WINDOW_TITLETELOP#0,"""タスク"""
WINDOW_CONTROLGUIDE#0,"""<%Decide>：決定\u3000\u3000<%Cancel>：キャンセル\u3000\u3000<%NextWidget>：カーソル移動"""
FULLSIZE_FORM_TITLE#0,"""タスク"""
RemainingDays#0,"""あと$(0)日"""
RemainingHour#0,"""<yellow>あと$(0)時間<c>"""
RemainingMinutes#0,"""<yellow>あと$(0)分<c>"""
Task_Requester#0,"""依頼者"""
Task_Requester_None#0,"""-"""
Task_List_Tilte#0,"""タスク一覧"""
Accept_Task_Limit#0,"""あと$(0)件受注可能\u3000($(1)/$(2))"""
Task_Chapter_Num#0,"""$(0)章"""
Task_help#0,"""ヘルプを表示する"""
Task_TwolineGuide_1#0,"""受注中のタスクを確認できます。それぞれのタスクを選択すると、ガイド情報への表示設定や、ヘルプの表示などができます。"""
Task_TwolineGuide_2#0,"""受注可能なタスクを確認できます。それぞれのタスクを選択すると、そのタスクの受注や、ガイド情報への表示設定などができます。"""
LoopTask_Count#0,"""周回数"""
Reward_Tier#0,"""TIER"""
Reward_SeasonalPoint#0,"""SEASON"""
Reward_GenesisPoint#0,"""GP"""
FORM_TITLE#0,"""$(0)の詳細"""
REWIND_CONDITION#0,"""再受注"""
TASK_OVERVIEW#0,"""概要"""
TASK_REWARD#0,"""報酬"""
TASK_PROGRESSES#0,"""詳細進行度"""
TASK_TO_ACHIEVEMENT#0,"""達成まで"""
ITEMDETAIL_CONTROLGUIDE#0,"""<%Function>で報酬詳細"""
ITEMDETAIL_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で報酬詳細\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
ITEMDETAIL_MissionPass#0,"""<%NextTabDetails>でミッションパス"""
BASICINFO_CONTROLGUIDE#0,"""<%Function><pict 4space>で基本情報"""
BASICINFO_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で基本情報\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
NO_REWARD_ITEM#0,"""報酬アイテムがありません。"""
Task_Detial_Tilte#0,"""タスク詳細"""
TASK_PROGRESSES_2#0,"""進行度"""
BASIC_INFO#0,"""基本情報"""
REWARD_INFO#0,"""報酬情報"""
REWARD_ITEMNAME#0,"""アイテム名"""
REWARD_QUANTITY#0,"""入手数量"""
TASK_DETAILS_UNSELECTED#0,"""タスクが選択されていません。"""
REWARD_QUANTITY_NUM#0,"""×$(0)"""
TASK_REWARD_LOOP_1#0,"""初回達成報酬"""
TASK_REWARD_LOOP_2#0,"""2回目以降の達成報酬"""
TASK_LOOPCOUNT#0,"""<space>"""
