tut_006207#0,"""レスタサイン"""
tut_006208#0,"""サブパレット"""
tut_006213#0,"""ロックオン／ロックオン切り替え"""
tut_006219#0,"""通常攻撃によるPP回復"""
tut_006221#0,"""アイテムコンテナ"""
tut_006222#0,"""アイテムパック"""
tut_006223#0,"""防具装備"""
tut_006225#0,"""弱点属性"""
tut_006226#0,"""弱点部位"""
tut_006229#0,"""Ｅマーカー"""
tut_006230#0,"""マルチプレイ"""
tut_006231#0,"""コクーン"""
tut_006232#0,"""ウォールキック"""
tut_006233#0,"""サブパレットのカスタマイズ"""
tut_006234#0,"""フォトンブラスト"""
tut_006235#0,"""スキルポイント"""
tut_006236#0,"""クラスカウンター"""
tut_006237#0,"""スキルツリー"""
tut_006238#0,"""スキルリセット"""
tut_006239#0,"""ハンター"""
tut_006240#0,"""レンジャー"""
tut_006241#0,"""フォース"""
tut_006242#0,"""ファイター"""
tut_006243#0,"""ガンナー"""
tut_006244#0,"""テクター"""
tut_006245#0,"""アークスキャッシュとACショップ"""
tut_006246#0,"""スタージェムとSGショップ"""
tut_006247#0,"""ステップカウンター"""
tut_006248#0,"""大剣（ソード）"""
tut_006249#0,"""長槍（パルチザン）"""
tut_006250#0,"""自在槍（ワイヤードランス）"""
tut_006251#0,"""長銃（アサルトライフル）"""
tut_006252#0,"""大砲（ランチャー）"""
tut_006253#0,"""長杖（ロッド）"""
tut_006254#0,"""導具（タリス）"""
tut_006255#0,"""鋼拳（ナックル）"""
tut_006256#0,"""両剣（ダブルセイバー）"""
tut_006257#0,"""双小剣（ツインダガー）"""
tut_006258#0,"""双機銃（ツインマシンガン）"""
tut_006259#0,"""短杖（ウォンド）"""
tut_006261#0,"""倉庫"""
tut_006262#0,"""『PSO2』との共有要素"""
tut_006263#0,"""武器装備"""
tut_006264#0,"""メインパレットの切り替え"""
tut_006265#0,"""サブパレットの切り替え"""
tut_006266#0,"""メインタスク"""
tut_006267#0,"""サイドタスク"""
tut_006268#0,"""リューカーデバイス"""
tut_006269#0,"""テレポート"""
tut_006270#0,"""ワールドマップ"""
tut_006271#0,"""探索セクション"""
tut_006272#0,"""ギャザリング"""
tut_006273#0,"""テイムズ"""
tut_006274#0,"""クイックフード"""
tut_006275#0,"""セクション情報"""
tut_006276#0,"""クイックメニュー"""
tut_006277#0,"""メインパレットのカスタマイズ"""
tut_006278#0,"""武器や防具の強化"""
tut_006280#0,"""戦闘力・1"""
tut_006281#0,"""デイリー／ウィークリータスク"""
tut_006283#0,"""タスクのガイド情報"""
tut_006284#0,"""ミッションパス"""
tut_006285#0,"""パーティー"""
tut_006287#0,"""リバーサーサイン"""
tut_006288#0,"""アークスカード"""
tut_006289#0,"""スタンプ"""
tut_006290#0,"""チャット"""
tut_006291#0,"""ロビーアクション"""
tut_006293#0,"""直前の操作の取り消しとやり直し"""
tut_006294#0,"""パラメーター"""
tut_006295#0,"""戦闘不能メニュー"""
tut_006296#0,"""トライアル"""
tut_006297#0,"""天候"""
tut_006298#0,"""バンカーType.2"""
tut_006299#0,"""エステ"""
tut_006300#0,"""クエスト一時倉庫"""
tut_006301#0,"""ドロップ一時倉庫"""
tut_006302#0,"""ブロック移動"""
tut_006304#0,"""モーション変更"""
tut_006305#0,"""フレンドリスト"""
tut_006306#0,"""ショートカットワード"""
tut_006307#0,"""オートワード"""
tut_006308#0,"""アークスサーチ"""
tut_006309#0,"""グループチャット"""
tut_006310#0,"""シンボルアート"""
tut_006311#0,"""操作設定"""
tut_006312#0,"""クエストの破棄"""
tut_006313#0,"""ブーストアイテム"""
tut_006314#0,"""ファッションチケット"""
tut_006315#0,"""マグ"""
tut_006316#0,"""プリセット能力"""
tut_006318#0,"""スクラッチ"""
tut_006319#0,"""アイテム交換ショップ"""
tut_006320#0,"""称号"""
tut_006321#0,"""戦闘セクション"""
tut_006322#0,"""サブクラス"""
tut_006324#0,"""PSE"""
tut_006325#0,"""レアエネミー"""
tut_006326#0,"""特殊能力追加"""
tut_006329#0,"""潜在能力解放"""
tut_006330#0,"""限界突破"""
tut_006331#0,"""リージョンマグ"""
tut_006333#0,"""クエストカウンター"""
tut_006335#0,"""チャレンジ設定：コクーン／タワー"""
tut_006336#0,"""ドローム"""
tut_006337#0,"""タワー"""
tut_006338#0,"""エンハンスドエネミー"""
tut_006339#0,"""マルチウェポン"""
tut_006340#0,"""バトルディア：イエロー"""
tut_006341#0,"""ワールドトライアル"""
tut_006342#0,"""緊急クエスト"""
tut_006343#0,"""ギガンティクス"""
tut_006344#0,"""プロテクトコンテナ"""
tut_006350#0,"""物理ダウン／属性ダウン"""
