name01#0,"""???"""
name02#0,"""???"""
name01#1,"""？？？"""
name02#1,"""？？？"""
un_010480_0010#0,"""......สวัสดี"""
un_010480_0020#0,"""......จะว่ายังไงดีล่ะ<br>ไม่คิดว่าพวก Hunter <br>น่าโมโหบ้างเหรอ?"""
un_010480_0030#0,"""......ชอบวิ่งนำหน้าไปก่อน<br>เกะกะขวางทาง บดบังทัศนวิสัย<br>แถมตะโกนส่งเสียงหนวกหูอีก......"""
un_010480_0040#0,"""......ยิ่งไปกว่านั้น<br>ยังไม่คิดจะคิดอะไรให้รอบคอบ<br>แล้วยิ่งวิ่งเข้าไปอย่างไร้สมองแบบนั้น"""
un_010480_0050#0,"""...เทียบกันแล้ว Wizard ดีกว่าเห็นๆ<br>พวกเราเคลื่อนที่อย่างรอบคอบ กำจัดศัตรู<br>ในทีเดียว มีประสิทธิภาพกว่าตั้งเยอะ"""
un_010480_0060#0,"""......ถ้าเลือกได้ล่ะก็ เลือก Wizard เถอะ<br>จำเอาไว้ก็ไม่มีอะไรเสียหาย<br>ไปล่ะนะ"""
un_010480_0010#1,"""……こんにちは。"""
un_010480_0020#1,"""……ハンターって、なんていうか<br>むさ苦しいと思わない？"""
un_010480_0030#1,"""……いちいち前に出て<br>射線や視界を遮ったりするし<br>掛け声もうるさいし……"""
un_010480_0040#1,"""……なにより<br>何も考えずに突っ走るひとが<br>多くて、正直理解不能。"""
un_010480_0050#1,"""……その点、フォースはいい。<br>静かに動き、溜めて一撃必殺。<br>とっても効率的。"""
un_010480_0060#1,"""……選ぶのならフォース。<br>覚えておいて損はないわ。<br>じゃあね。"""
