name01#0,"""???"""
name02#0,"""???"""
name01#1,"""？？？"""
name02#1,"""？？？"""
un_011510_0010#0,"""ว่าไงคู่หู ดูท่าสบายดีนะ<br>บังเอิญมาเจอที่นี่ได้<br>ดูท่าจะดวงสมพงษ์จังนะ แหะๆ"""
un_011510_0020#0,"""ที่นี่ยังกับเขาวงกตเลยนะ<br>ข้ารู้สึกเหมือนทางนี้ข้าพึ่ง<br>จะเดินมาเมื่อกี้นี้เอง"""
un_011510_0030#0,"""อ้อใช่ ข้าเจอใครซักคน<br>กำลังตามหาอะไรซักอย่างอยู่ด้วย"""
un_011510_0040#0,"""ข้าพึ่งเห็นเมื่อไม่นานนี้เองนะ<br>ตอนที่ข้าเห็นมันปุ๊ปมันก็วิ่งหนีปั๊ปเลย"""
un_011510_0050#0,"""หยาบคายจริงๆ เลยน๊า<br>ข้ายังไม่ได้ทำอะไรซะด้วยซ้ำ!"""
un_011510_0070#0,"""แต่ข้าก็ชื่นชมนะ<br>ดูเหมือนมันจะรู้จักที่นี่ดีเลย<br>ยังกับมีสัญลักษณ์อะไรบ่งบอกทางอยู่"""
un_011510_0080#0,"""....แต่ดูเหมือนเราจะไม่มีโอกาส<br>ได้ถามมันเท่าไรนะ ดูจากสภาพแล้ว<br>เราคงต้องหาทางออกเองแล้วล่ะ"""
un_011510_0010#1,"""よっ、相棒。元気にやってるか。<br>ここで巡り会うってのも<br>なんだか運命じみてるな。へへっ。"""
un_011510_0020#1,"""ほーんと、迷路みたいだよなここ。<br>さっきから行ったり来たりしちまって<br>道がさっぱりわかんねーんだ。"""
un_011510_0030#1,"""そういや、ちっこい影も<br>何かを探して、うろちょろしてたな。"""
un_011510_0040#1,"""いや、さっき奥の方で会ったんだけどよ<br>おれを見た瞬間、ぱっ！と逃げたんだ。"""
un_011510_0050#1,"""ホント、失礼しちゃうよなあ。<br>べつに何もしないっての！"""
un_011510_0070#1,"""あいつらはこのあたりの地形を<br>カンペキに把握してる感じだったぜ。<br>なんか、目印でもあるのかねぇ。"""
un_011510_0080#1,"""……ま、ろくに交流もできないんだし<br>おれたちは自分でなんとかしねーと<br>ダメだろうな。"""
