un_012010_0001#0,"""???"""
un_012010_0010#0,"""มีคำถามค่ะ<br>ช่วยตอบทีได้มั้ยคะ"""
un_012010_0020#0,"""จำเหตุการณ์ที่มังกรคลั่งออกมาอาละวาด<br>ติดต่อกันได้สินะคะ"""
un_012010_0030#0,"""จะถามเรื่องที่อยู่ของมันแหละค่ะ...<br>รู้ไหมคะว่าที่อยู่ของเจ้าตัวที่ท่าทางร้ายกาจกว่าตัวอื่นๆ<br>อยู่ที่ไหนคะ?"""
un_012010_0040#0,"""...งั้นเหรอคะ"""
un_012010_0050#0,"""ขออภัยที่รบกวนค่ะ<br>คิดซะว่าไม่เคยได้ยินเรื่องเมี่อกี๊นี้ก็แล้วกันนะคะ"""
un_012010_0060#0,"""A.P.238/2/25"""
un_012010_0001#1,"""？？？"""
un_012010_0010#1,"""質問があります。<br>答えてもらえますよね。"""
un_012010_0020#1,"""頻発している暴走龍の乱入。<br>ご存知ですよね。"""
un_012010_0030#1,"""その居場所について……<br>特に、その中でも強い個体について<br>何か知りませんか？"""
un_012010_0040#1,"""……そうですか。"""
un_012010_0050#1,"""無礼を詫びます。<br>今あったことは気にせずに<br>探索を続けて下さい。では。"""
un_012010_0060#1,"""A.P.238/2/25"""
