un_012330_0005#0,"""【異文化交流】<br>暫用文字"""
un_012330_0010#0,"""啊，是你啊。<br>今天也是進行探索麼？　還真是勤奮。"""
un_012330_0020#0,"""〔<%me>〕<br>〔之前〕〔承蒙照顧〕<br>〔再次〕〔表達感謝〕"""
un_012330_0030#0,"""哦，你們認識啊？<br>那就不用介紹了。"""
un_012330_0040#0,"""沒什麼，上一次之後，<br>我和她建立了良好的友誼。<br>目前在向她學習龍族的文化。"""
un_012330_0050#0,"""〔我也是〕〔末學後進〕<br>〔能夠交換〕〔各方見聞〕<br>〔盼望對我〕〔有所助益〕"""
un_012330_0060#0,"""我和她可說是方向一致的聊天對象。<br>她的話對我來說都很新鮮，<br>很有意義，非常的棒。"""
un_012330_0070#0,"""嗯？　你問萊特麼？<br>喔，他......"""
un_012330_0080#0,"""〔因為畏懼〕〔我的身形〕〔轉身就跑〕<br>〔深感〕〔遺憾〕"""
un_012330_0090#0,"""真是的，太沒男子氣概了。<br>看到女性居然還轉身逃跑，<br>真是沒禮貌到極點。"""
un_012330_0100#0,"""〔但是〕〔和亞琪說話〕〔很有意義〕<br>〔興致很高〕〔很有趣〕"""
un_012330_0110#0,"""哈哈，是我的榮幸呢。<br>對了......那接下來<br>來說說男性觀與女性觀的話題吧。"""
un_012330_0120#0,"""〔很有興趣〕〔快告訴我〕"""
un_012330_0130#0,"""就是這樣，我們要開始享受<br>短暫的對話時光了。<br>那麼，再見了。"""
