un_020460_0010#0,"""......อ๊ะ คุณน่ะเอง<br>ขอโทษนะ พอดีชั้นมีคนที่ไม่อยาก<br>เจออยู่ ก็เลยระวังตัวอยู่น่ะ"""
un_020460_0020#0,"""......ก็ไม่ใช่ว่าชั้น<br>เกลียดคนๆ นั้นหรอกนะ<br>พวกเราก็ยังทำภารกิจร่วมกันอยู่"""
un_020460_0030#0,"""......แต่ถ้าเป็นการคุยกัน<br>ตอนอยู่นอกภารกิจก็อีกเรื่อง <br>ชั้นจะพูดไม่ค่อยออกเลยล่ะ"""
un_020460_0040#0,"""......แล้วก็ดูไม่ค่อยเป็นธรรมชาติด้วย<br>เพราะฉะนั้น อยู่ห่างๆ กันไว้ดีกว่า<br>เพื่อทั้งสองฝ่าย"""
un_020460_0050#0,"""......ชั้นคิดอย่างนั้น<br>ทั้งๆ ที่ควรจะทิ้งระยะห่างเอาไว้<br>แต่ว่า...... ทั้งๆ ที่เป็นอย่างนั้น......"""
un_020460_0060#0,"""......และจำเพาะช่วงเวลาแบบนี้ที่เค้าจะ<br>พยายามเข้ามาใกล้ชิดชั้นตามอำเภอใจ"""
un_020460_0070#0,"""......Hunter น่ะเป็นอย่างนี้ทุกทีเลย<br>ทำอะไรตามใจตัวเอง เอาแต่มุ่งไปข้างหน้า<br>เดือดร้อนคนอื่นเขา...... จริงๆ"""
un_020460_0010#1,"""……あ、貴方か。<br>ごめんなさい、ちょっと今は<br>会いたくない人がいて、警戒してた。"""
un_020460_0020#1,"""……その人のこと<br>別に嫌いってわけじゃないの。<br>一緒の任務はきちんとやってるわ。"""
un_020460_0030#1,"""……けど、そうじゃないときに<br>話すとなると、別なの。<br>うまく、話せなくて。"""
un_020460_0040#1,"""……不自然になっちゃうから<br>それなら、離れてた方がいい。<br>お互いのため。"""
un_020460_0050#1,"""……私は、そう思って<br>なるべく距離を取ってるのに<br>でも……それなのに……"""
un_020460_0060#1,"""……そういうときに限って<br>勝手に近寄ってきたりする。"""
un_020460_0070#1,"""……本当、ハンターはいつもそう。<br>自分勝手で、どんどん突き進んで<br>本当に……迷惑。"""
