name01#0,"""？？？"""
name02#0,"""？？？"""
un_035080_0010#0,"""あ、<%me>。<br>わざわざあたしに会いに来てくれたの？<br>ふふっ、ありがとね。"""
un_035080_0020#0,"""でも、そんなに心配してくれなくても<br>あたしは大丈夫だよ。<br>知り合いもいっぱいできたしね。"""
un_035080_0030#0,"""おっ、噂をすれば……<br>おーい、アフィン！<br>こっちこっち！"""
un_035080_0040#0,"""クーナさんと……相棒？<br>あれ、二人とも知り合いなのか？"""
un_035080_0050#0,"""あははっ、イオと同じ反応するね。"""
un_035080_0060#0,"""前にも話したでしょ？<br>アークスの企画で一緒に仕事を<br>したことがあるのよ。"""
un_035080_0070#0,"""それで、アフィン。<br>あれからイオとは仲良くしてる？"""
un_035080_0080#0,"""ああ、まあ、それなりに。"""
un_035080_0090#0,"""あの子はほっとくと<br>一人でいようとするんだから<br>時々会いに行ってあげないとダメだよ？"""
un_035080_0100#0,"""わかってるって。<br>だからそう、おれの姉ちゃん<br>みたいなこと言うなよ。"""
un_035080_0110#0,"""あれ？<br>アフィン、お姉さんいたんだ？"""
un_035080_0120#0,"""それは……"""
un_035080_0130#0,"""……あ、あれ？<br>もしかしてあたし、あんまり聞いちゃ<br>いけないことを、聞いちゃった？"""
un_035080_0140#0,"""いいや、そんなことねえよ。<br>おれの姉ちゃんはいるし、生きてるぜ。<br>機会があったら、会わせるよ。"""
un_035080_0150#0,"""それじゃ、おれは行くぜ。<br>またな、二人とも。"""
un_035080_0160#0,"""……ふはーっ、びっくりした。<br>地雷踏んじゃったのかと思ったよ。"""
un_035080_0170#0,"""なんだかいろいろ複雑そうだね。<br>……でもまあ、ふっきれたような目を<br>してたし、大丈夫でしょ。"""
